_time,Building,Clients
Mon Mar  7 00:00:00 2022,RGN,1683
Thu Mar  3 00:00:00 2022,RGN,1459
Mon Mar  7 00:00:00 2022,CRX,1278
Mon Mar  7 00:00:00 2022,Morisset,1271
Thu Mar  3 00:00:00 2022,CRX,1131
Tue Mar  1 00:00:00 2022,RGN,1097
Mon Mar  7 00:00:00 2022,UniCenter,1048
Mon Mar  7 00:00:00 2022,FSS,963
Fri Mar  4 00:00:00 2022,CRX,896
Tue Mar  1 00:00:00 2022,CRX,847
Wed Mar  2 00:00:00 2022,RGN,839
Wed Mar  2 00:00:00 2022,CRX,825
Thu Mar  3 00:00:00 2022,UniCenter,795
Fri Mar  4 00:00:00 2022,RGN,784
Thu Mar  3 00:00:00 2022,FSS,753
Mon Mar  7 00:00:00 2022,DMS,749
Thu Mar  3 00:00:00 2022,Morisset,729
Mon Mar  7 00:00:00 2022,SITE,642
Mon Mar  7 00:00:00 2022,STEM,640
Wed Mar  2 00:00:00 2022,Morisset,612
Tue Mar  1 00:00:00 2022,Morisset,600
Mon Mar  7 00:00:00 2022,Tabaret,592
Wed Mar  2 00:00:00 2022,FSS,559
Mon Mar  7 00:00:00 2022,MontPetit,552
Thu Mar  3 00:00:00 2022,DMS,541
Wed Mar  2 00:00:00 2022,UniCenter,528
Fri Mar  4 00:00:00 2022,UniCenter,512
Mon Mar  7 00:00:00 2022,bioScience,511
Mon Feb 28 00:00:00 2022,CRX,502
Thu Mar  3 00:00:00 2022,bioScience,496
Thu Mar  3 00:00:00 2022,SITE,495
Tue Mar  1 00:00:00 2022,FSS,472
Fri Mar  4 00:00:00 2022,FSS,461
Mon Mar  7 00:00:00 2022,CBY,457
Thu Mar  3 00:00:00 2022,Tabaret,447
Mon Mar  7 00:00:00 2022,LMX,442
Tue Mar  1 00:00:00 2022,UniCenter,439
Mon Mar  7 00:00:00 2022,SPX,436
Mon Mar  7 00:00:00 2022,Marion,428
Fri Mar  4 00:00:00 2022,Morisset,428
Thu Mar  3 00:00:00 2022,CBY,419
Thu Mar  3 00:00:00 2022,MontPetit,419
Mon Feb 28 00:00:00 2022,Morisset,416
Tue Mar  1 00:00:00 2022,DMS,414
Fri Mar  4 00:00:00 2022,DMS,414
Thu Mar  3 00:00:00 2022,STEM,409
Mon Mar  7 00:00:00 2022,Vanier,401
Wed Mar  2 00:00:00 2022,DMS,395
Wed Mar  2 00:00:00 2022,MontPetit,390
Wed Mar  2 00:00:00 2022,SITE,388
Mon Mar  7 00:00:00 2022,ARC,379
Fri Mar  4 00:00:00 2022,SITE,378
Mon Feb 28 00:00:00 2022,DMS,372
Mon Mar  7 00:00:00 2022,Fauteux,364
Tue Mar  1 00:00:00 2022,STEM,359
Tue Mar  1 00:00:00 2022,Fauteux,353
Sun Mar  6 00:00:00 2022,CRX,346
Mon Feb 28 00:00:00 2022,RGN,346
Wed Mar  2 00:00:00 2022,STEM,345
Tue Mar  1 00:00:00 2022,CBY,342
Mon Mar  7 00:00:00 2022,Diorio,342
Wed Mar  2 00:00:00 2022,CBY,338
Fri Mar  4 00:00:00 2022,STEM,334
Thu Mar  3 00:00:00 2022,Marion,331
Tue Mar  1 00:00:00 2022,Tabaret,331
Thu Mar  3 00:00:00 2022,ARC,329
Mon Feb 28 00:00:00 2022,UniCenter,317
Wed Mar  2 00:00:00 2022,bioScience,315
Thu Mar  3 00:00:00 2022,Vanier,312
Thu Mar  3 00:00:00 2022,SPX,308
Sat Mar  5 00:00:00 2022,CRX,307
Thu Mar  3 00:00:00 2022,Fauteux,305
Wed Mar  2 00:00:00 2022,Tabaret,303
Fri Mar  4 00:00:00 2022,MontPetit,299
Thu Mar  3 00:00:00 2022,Diorio,292
Tue Mar  1 00:00:00 2022,SITE,268
Fri Mar  4 00:00:00 2022,Tabaret,268
Wed Mar  2 00:00:00 2022,Vanier,265
Wed Mar  2 00:00:00 2022,SPX,264
Tue Mar  1 00:00:00 2022,bioScience,263
Mon Feb 28 00:00:00 2022,SITE,262
Mon Feb 28 00:00:00 2022,FSS,260
Wed Mar  2 00:00:00 2022,Fauteux,257
Sat Mar  5 00:00:00 2022,UniCenter,255
Wed Mar  2 00:00:00 2022,Marion,253
Sat Mar  5 00:00:00 2022,Morisset,250
Fri Mar  4 00:00:00 2022,SPX,249
Fri Mar  4 00:00:00 2022,Fauteux,244
Sun Mar  6 00:00:00 2022,Morisset,244
Mon Mar  7 00:00:00 2022,CAREG,243
Sun Mar  6 00:00:00 2022,UniCenter,243
