_time,Building,Clients
Tue Mar  8 00:00:00 2022,CRX,1004
Tue Mar  8 00:00:00 2022,RGN,985
Fri Mar 11 00:00:00 2022,CRX,890
Wed Mar  9 00:00:00 2022,RGN,876
Thu Mar 10 00:00:00 2022,RGN,857
Mon Mar 14 00:00:00 2022,RGN,840
Wed Mar  9 00:00:00 2022,CRX,800
Mon Mar 14 00:00:00 2022,CRX,792
Thu Mar 10 00:00:00 2022,CRX,781
Fri Mar 11 00:00:00 2022,RGN,744
Tue Mar  8 00:00:00 2022,UniCenter,657
Fri Mar 11 00:00:00 2022,UniCenter,647
Tue Mar  8 00:00:00 2022,Morisset,617
Wed Mar  9 00:00:00 2022,UniCenter,613
Mon Mar 14 00:00:00 2022,UniCenter,595
Thu Mar 10 00:00:00 2022,Morisset,589
Mon Mar 14 00:00:00 2022,Morisset,580
Wed Mar  9 00:00:00 2022,Morisset,576
Mon Mar 14 00:00:00 2022,FSS,573
Thu Mar 10 00:00:00 2022,UniCenter,566
Fri Mar 11 00:00:00 2022,FSS,555
Wed Mar  9 00:00:00 2022,FSS,549
Tue Mar  8 00:00:00 2022,FSS,544
Thu Mar 10 00:00:00 2022,FSS,527
Fri Mar 11 00:00:00 2022,Morisset,521
Mon Mar  7 00:00:00 2022,CRX,520
Thu Mar 10 00:00:00 2022,DMS,505
Tue Mar  8 00:00:00 2022,DMS,481
Mon Mar  7 00:00:00 2022,Morisset,471
Wed Mar  9 00:00:00 2022,DMS,464
Wed Mar  9 00:00:00 2022,SITE,447
Fri Mar 11 00:00:00 2022,SITE,437
Mon Mar 14 00:00:00 2022,DMS,432
Mon Mar 14 00:00:00 2022,SITE,426
Fri Mar 11 00:00:00 2022,STEM,424
Mon Mar 14 00:00:00 2022,Tabaret,424
Tue Mar  8 00:00:00 2022,SITE,418
Tue Mar  8 00:00:00 2022,Tabaret,399
Mon Mar  7 00:00:00 2022,UniCenter,398
Thu Mar 10 00:00:00 2022,MontPetit,394
Wed Mar  9 00:00:00 2022,Tabaret,392
Sun Mar 13 00:00:00 2022,CRX,388
Thu Mar 10 00:00:00 2022,STEM,384
Sat Mar 12 00:00:00 2022,CRX,376
Tue Mar  8 00:00:00 2022,STEM,370
Wed Mar  9 00:00:00 2022,CBY,362
Mon Mar  7 00:00:00 2022,RGN,362
Thu Mar 10 00:00:00 2022,Vanier,355
Mon Mar 14 00:00:00 2022,STEM,354
Tue Mar  8 00:00:00 2022,CBY,351
Wed Mar  9 00:00:00 2022,STEM,345
Fri Mar 11 00:00:00 2022,Tabaret,336
Thu Mar 10 00:00:00 2022,SITE,334
Thu Mar 10 00:00:00 2022,CBY,331
Mon Mar 14 00:00:00 2022,MontPetit,331
Thu Mar 10 00:00:00 2022,Tabaret,330
Mon Mar 14 00:00:00 2022,Fauteux,326
Mon Mar 14 00:00:00 2022,CBY,321
Mon Mar 14 00:00:00 2022,Vanier,317
Thu Mar 10 00:00:00 2022,Marion,308
Fri Mar 11 00:00:00 2022,DMS,307
Wed Mar  9 00:00:00 2022,bioScience,307
Mon Mar 14 00:00:00 2022,bioScience,306
Thu Mar 10 00:00:00 2022,bioScience,303
Wed Mar  9 00:00:00 2022,Fauteux,293
Tue Mar  8 00:00:00 2022,Vanier,292
Wed Mar  9 00:00:00 2022,Marion,291
Tue Mar  8 00:00:00 2022,Marion,290
Tue Mar  8 00:00:00 2022,bioScience,287
Sat Mar 12 00:00:00 2022,Morisset,284
Wed Mar  9 00:00:00 2022,Vanier,282
Sat Mar 12 00:00:00 2022,SPX,278
Thu Mar 10 00:00:00 2022,LMX,277
Fri Mar 11 00:00:00 2022,Vanier,272
Fri Mar 11 00:00:00 2022,CBY,268
Wed Mar  9 00:00:00 2022,MontPetit,264
Sun Mar 13 00:00:00 2022,Morisset,260
Tue Mar  8 00:00:00 2022,Fauteux,257
Fri Mar 11 00:00:00 2022,MontPetit,253
Mon Mar  7 00:00:00 2022,FSS,247
Fri Mar 11 00:00:00 2022,Marion,246
Fri Mar 11 00:00:00 2022,SPX,245
Sun Mar 13 00:00:00 2022,UniCenter,245
Mon Mar 14 00:00:00 2022,Marion,242
Tue Mar  8 00:00:00 2022,MontPetit,234
Tue Mar  8 00:00:00 2022,SPX,229
Sat Mar 12 00:00:00 2022,FSS,225
Sat Mar 12 00:00:00 2022,UniCenter,224
Sun Mar 13 00:00:00 2022,FSS,221
Mon Mar  7 00:00:00 2022,SITE,221
Mon Mar  7 00:00:00 2022,DMS,213
Tue Mar  8 00:00:00 2022,ARC,202
Wed Mar  9 00:00:00 2022,LMX,202
Mon Mar 14 00:00:00 2022,SPX,200
Fri Mar 11 00:00:00 2022,LMX,199
Thu Mar 10 00:00:00 2022,Fauteux,198
Wed Mar  9 00:00:00 2022,Diorio,196
Mon Mar 14 00:00:00 2022,LMX,196
Fri Mar 11 00:00:00 2022,bioScience,195
Wed Mar  9 00:00:00 2022,SPX,191
Mon Mar 14 00:00:00 2022,Diorio,190
Tue Mar  8 00:00:00 2022,Diorio,189
Tue Mar  8 00:00:00 2022,LMX,189
Wed Mar  9 00:00:00 2022,Arts,187
Fri Mar 11 00:00:00 2022,Fauteux,186
Thu Mar 10 00:00:00 2022,SPX,186
Mon Mar 14 00:00:00 2022,ARC,184
Thu Mar 10 00:00:00 2022,Diorio,184
Wed Mar  9 00:00:00 2022,ARC,172
Thu Mar 10 00:00:00 2022,ARC,172
Fri Mar 11 00:00:00 2022,ARC,171
Fri Mar 11 00:00:00 2022,Diorio,167
Mon Mar  7 00:00:00 2022,CBY,163
Sat Mar 12 00:00:00 2022,STEM,155
