_time,Building,Clients
Thu May 26 00:00:00 2022,RGN,1542
Fri May 27 00:00:00 2022,RGN,763
Tue May 24 00:00:00 2022,RGN,762
Mon May 30 00:00:00 2022,RGN,755
Thu May 26 00:00:00 2022,Tabaret,752
Thu May 26 00:00:00 2022,CRX,710
Thu May 26 00:00:00 2022,CBY,655
Wed May 25 00:00:00 2022,RGN,588
Thu May 26 00:00:00 2022,FSS,583
Thu May 26 00:00:00 2022,STEM,523
Thu May 26 00:00:00 2022,DMS,491
Wed May 25 00:00:00 2022,Tabaret,410
Thu May 26 00:00:00 2022,Diorio,394
Thu May 26 00:00:00 2022,Arts,378
Tue May 24 00:00:00 2022,CBY,370
Thu May 26 00:00:00 2022,SITE,365
Mon May 30 00:00:00 2022,Tabaret,361
Mon May 30 00:00:00 2022,DMS,348
Tue May 24 00:00:00 2022,Tabaret,348
Tue May 24 00:00:00 2022,CRX,337
Thu May 26 00:00:00 2022,UniCenter,334
Thu May 26 00:00:00 2022,Vanier,331
Tue May 24 00:00:00 2022,DMS,327
Fri May 27 00:00:00 2022,CRX,326
Thu May 26 00:00:00 2022,bioScience,326
Thu May 26 00:00:00 2022,ARC,318
Thu May 26 00:00:00 2022,Marion,309
Mon May 30 00:00:00 2022,CBY,300
Fri May 27 00:00:00 2022,STEM,291
Mon May 30 00:00:00 2022,FSS,289
Thu May 26 00:00:00 2022,SPX,289
Fri May 27 00:00:00 2022,Tabaret,279
Wed May 25 00:00:00 2022,CBY,276
Fri May 27 00:00:00 2022,CBY,268
Wed May 25 00:00:00 2022,DMS,268
Mon May 30 00:00:00 2022,CRX,267
Thu May 26 00:00:00 2022,Fauteux,262
Wed May 25 00:00:00 2022,CRX,252
Fri May 27 00:00:00 2022,DMS,247
Thu May 26 00:00:00 2022,Morisset,247
Tue May 24 00:00:00 2022,STEM,239
Mon May 30 00:00:00 2022,Fauteux,234
Tue May 24 00:00:00 2022,FSS,230
Fri May 27 00:00:00 2022,FSS,229
Mon May 30 00:00:00 2022,Morisset,225
Tue May 24 00:00:00 2022,MontPetit,220
Fri May 27 00:00:00 2022,UniCenter,219
Thu May 26 00:00:00 2022,CAREG,215
Thu May 26 00:00:00 2022,LPR,210
Thu May 26 00:00:00 2022,MontPetit,210
Mon May 30 00:00:00 2022,STEM,207
Mon May 30 00:00:00 2022,Vanier,204
Wed May 25 00:00:00 2022,Vanier,201
Mon May 30 00:00:00 2022,ARC,200
Fri May 27 00:00:00 2022,MontPetit,200
Fri May 27 00:00:00 2022,Diorio,196
Mon May 30 00:00:00 2022,Diorio,194
Mon May 23 00:00:00 2022,RGN,194
Fri May 27 00:00:00 2022,Morisset,192
Tue May 24 00:00:00 2022,Diorio,190
Tue May 24 00:00:00 2022,Fauteux,183
Mon May 30 00:00:00 2022,bioScience,174
Tue May 24 00:00:00 2022,ARC,173
Tue May 24 00:00:00 2022,Morisset,173
Wed May 25 00:00:00 2022,FSS,172
Tue May 24 00:00:00 2022,bioScience,169
Tue May 24 00:00:00 2022,Vanier,168
Wed May 25 00:00:00 2022,STEM,167
Thu May 26 00:00:00 2022,Simard,167
Thu May 26 00:00:00 2022,LMX,163
Fri May 27 00:00:00 2022,Marion,161
Tue May 24 00:00:00 2022,UniCenter,160
Tue May 24 00:00:00 2022,Arts,159
Fri May 27 00:00:00 2022,bioScience,159
Mon May 30 00:00:00 2022,UniCenter,157
Tue May 24 00:00:00 2022,SITE,154
Tue May 24 00:00:00 2022,SPX,154
Mon May 30 00:00:00 2022,Marion,153
Tue May 24 00:00:00 2022,Marion,151
Wed May 25 00:00:00 2022,Diorio,150
Mon May 30 00:00:00 2022,SPX,144
Mon May 30 00:00:00 2022,LPR,143
Sat May 28 00:00:00 2022,RGN,143
Mon May 23 00:00:00 2022,CBY,142
Wed May 25 00:00:00 2022,Fauteux,142
Fri May 27 00:00:00 2022,ARC,141
Tue May 24 00:00:00 2022,LPR,140
Thu May 26 00:00:00 2022,LEES BLOCK E,139
Wed May 25 00:00:00 2022,LPR,139
Sat May 28 00:00:00 2022,STEM,138
Sun May 29 00:00:00 2022,RGN,133
Mon May 30 00:00:00 2022,SITE,133
Sat May 28 00:00:00 2022,CRX,132
Fri May 27 00:00:00 2022,Vanier,132
Mon May 23 00:00:00 2022,CRX,131
Wed May 25 00:00:00 2022,UniCenter,127
Wed May 25 00:00:00 2022,Morisset,125
Tue May 24 00:00:00 2022,LMX,123
Fri May 27 00:00:00 2022,LPR,123
Wed May 25 00:00:00 2022,ARC,122
Fri May 27 00:00:00 2022,Fauteux,122
Mon May 30 00:00:00 2022,CAREG,120
Fri May 27 00:00:00 2022,CAREG,115
Sun May 29 00:00:00 2022,CRX,115
Wed May 25 00:00:00 2022,bioScience,109
Fri May 27 00:00:00 2022,SITE,108
Wed May 25 00:00:00 2022,SPX,108
Tue May 24 00:00:00 2022,CAREG,107
Fri May 27 00:00:00 2022,SPX,106
Fri May 27 00:00:00 2022,Arts,105
Mon May 30 00:00:00 2022,MontPetit,105
Sat May 28 00:00:00 2022,CBY,102
Mon May 30 00:00:00 2022,Simard,102
Sun May 29 00:00:00 2022,CBY,94
Thu May 26 00:00:00 2022,Hagen,94
Tue May 24 00:00:00 2022,LEES BLOCK A,90
Mon May 30 00:00:00 2022,LEES BLOCK A,90
Sat May 28 00:00:00 2022,DMS,88
Wed May 25 00:00:00 2022,MontPetit,88
Wed May 25 00:00:00 2022,SITE,88
Sun May 29 00:00:00 2022,Morisset,86
Tue May 24 00:00:00 2022,Simard,84
Sun May 29 00:00:00 2022,DMS,83
Sun May 29 00:00:00 2022,FSS,82
Sat May 28 00:00:00 2022,SITE,81
Thu May 26 00:00:00 2022,KED,79
Wed May 25 00:00:00 2022,1 Stewart,77
Thu May 26 00:00:00 2022,600 Peter Morand,77
Wed May 25 00:00:00 2022,Marion,77
Thu May 26 00:00:00 2022,1 Stewart,76
Sun May 29 00:00:00 2022,Fauteux,76
Mon May 30 00:00:00 2022,Arts,75
Fri May 27 00:00:00 2022,LEES BLOCK E,75
Sun May 29 00:00:00 2022,SPX,75
Tue May 24 00:00:00 2022,LEES BLOCK E,73
Sat May 28 00:00:00 2022,MontPetit,73
Fri May 27 00:00:00 2022,Simard,73
Mon May 30 00:00:00 2022,LEES BLOCK E,72
Sat May 28 00:00:00 2022,FSS,71
Mon May 30 00:00:00 2022,LMX,71
Sat May 28 00:00:00 2022,Morisset,71
Wed May 25 00:00:00 2022,CAREG,70
Fri May 27 00:00:00 2022,LMX,70
Sun May 29 00:00:00 2022,STEM,70
Thu May 26 00:00:00 2022,850 Peter Morand,68
Wed May 25 00:00:00 2022,LEES BLOCK E,66
Thu May 26 00:00:00 2022,MCU,65
Sun May 29 00:00:00 2022,ARC,62
Wed May 25 00:00:00 2022,LMX,61
Mon May 23 00:00:00 2022,STEM,61
Wed May 25 00:00:00 2022,Simard,61
Thu May 26 00:00:00 2022,LEES BLOCK A,60
Sat May 28 00:00:00 2022,UniCenter,59
Mon May 30 00:00:00 2022,1 Stewart,58
Tue May 24 00:00:00 2022,KED,58
Sat May 28 00:00:00 2022,LMX,58
Wed May 25 00:00:00 2022,Arts,57
Sat May 28 00:00:00 2022,Fauteux,56
Sat May 28 00:00:00 2022,ARC,55
Mon May 30 00:00:00 2022,Hagen,52
Fri May 27 00:00:00 2022,KED,51
Sat May 28 00:00:00 2022,Vanier,51
Mon May 23 00:00:00 2022,DMS,50
Mon May 23 00:00:00 2022,SITE,50
Sat May 28 00:00:00 2022,SPX,50
Tue May 24 00:00:00 2022,Hagen,49
Thu May 26 00:00:00 2022,535 Legget,48
Mon May 30 00:00:00 2022,600 Peter Morand,47
Fri May 27 00:00:00 2022,Hagen,46
Tue May 24 00:00:00 2022,1 Stewart,45
Mon May 23 00:00:00 2022,ARC,45
Wed May 25 00:00:00 2022,Hagen,45
Sat May 28 00:00:00 2022,Tabaret,45
Thu May 26 00:00:00 2022,Thompson,45
Thu May 26 00:00:00 2022,Perez,44
Sun May 29 00:00:00 2022,Sacre Coeur,44
Fri May 27 00:00:00 2022,LEES BLOCK A,43
Mon May 23 00:00:00 2022,Diorio,42
Mon May 30 00:00:00 2022,KED,41
Sun May 29 00:00:00 2022,MontPetit,41
Sun May 29 00:00:00 2022,SITE,41
Tue May 24 00:00:00 2022,Perez,39
Sun May 29 00:00:00 2022,Simard,39
Sat May 28 00:00:00 2022,bioScience,39
Wed May 25 00:00:00 2022,850 Peter Morand,37
Sat May 28 00:00:00 2022,Diorio,37
Mon May 23 00:00:00 2022,Vanier,37
Mon May 30 00:00:00 2022,EMBA,36
