_time,Building,Clients
Thu Apr 14 00:00:00 2022,RGN,812
Wed Apr 13 00:00:00 2022,RGN,808
Tue Apr 12 00:00:00 2022,RGN,803
Mon Apr 11 00:00:00 2022,CRX,657
Tue Apr 12 00:00:00 2022,CRX,623
Mon Apr 18 00:00:00 2022,Morisset,575
Wed Apr 13 00:00:00 2022,CRX,568
Wed Apr 13 00:00:00 2022,UniCenter,531
Tue Apr 12 00:00:00 2022,UniCenter,526
Mon Apr 11 00:00:00 2022,Morisset,514
Tue Apr 12 00:00:00 2022,Morisset,494
Tue Apr 12 00:00:00 2022,FSS,483
Thu Apr 14 00:00:00 2022,CRX,439
Thu Apr 14 00:00:00 2022,UniCenter,431
Wed Apr 13 00:00:00 2022,Morisset,430
Fri Apr 15 00:00:00 2022,Morisset,421
Wed Apr 13 00:00:00 2022,FSS,420
Mon Apr 11 00:00:00 2022,UniCenter,420
Fri Apr 15 00:00:00 2022,UniCenter,408
Tue Apr 12 00:00:00 2022,DMS,404
Tue Apr 12 00:00:00 2022,Tabaret,396
Mon Apr 18 00:00:00 2022,UniCenter,396
Thu Apr 14 00:00:00 2022,Morisset,373
Wed Apr 13 00:00:00 2022,Tabaret,373
Wed Apr 13 00:00:00 2022,DMS,367
Thu Apr 14 00:00:00 2022,FSS,359
Tue Apr 12 00:00:00 2022,SITE,323
Sun Apr 17 00:00:00 2022,Morisset,315
Wed Apr 13 00:00:00 2022,SITE,313
Mon Apr 11 00:00:00 2022,FSS,306
Tue Apr 12 00:00:00 2022,Fauteux,296
Thu Apr 14 00:00:00 2022,DMS,287
Thu Apr 14 00:00:00 2022,Tabaret,273
Sat Apr 16 00:00:00 2022,CRX,269
Tue Apr 12 00:00:00 2022,CBY,268
Mon Apr 18 00:00:00 2022,Fauteux,267
Mon Apr 18 00:00:00 2022,SITE,261
Sat Apr 16 00:00:00 2022,Morisset,260
Wed Apr 13 00:00:00 2022,STEM,256
Mon Apr 11 00:00:00 2022,SITE,254
Fri Apr 15 00:00:00 2022,FSS,253
Wed Apr 13 00:00:00 2022,Fauteux,249
Sun Apr 17 00:00:00 2022,UniCenter,242
Wed Apr 13 00:00:00 2022,CBY,240
Mon Apr 11 00:00:00 2022,RGN,240
Thu Apr 14 00:00:00 2022,CBY,234
Tue Apr 12 00:00:00 2022,STEM,233
Thu Apr 14 00:00:00 2022,SITE,231
Tue Apr 12 00:00:00 2022,MontPetit,224
Thu Apr 14 00:00:00 2022,STEM,223
Tue Apr 12 00:00:00 2022,Vanier,217
Thu Apr 14 00:00:00 2022,Fauteux,216
Fri Apr 15 00:00:00 2022,RGN,213
Sat Apr 16 00:00:00 2022,UniCenter,210
Mon Apr 18 00:00:00 2022,STEM,209
Wed Apr 13 00:00:00 2022,Vanier,207
Tue Apr 12 00:00:00 2022,LMX,205
Tue Apr 12 00:00:00 2022,ARC,201
Mon Apr 11 00:00:00 2022,Fauteux,194
Mon Apr 18 00:00:00 2022,Morriset,194
