_time,Building,Clients
Tue May 17 00:00:00 2022,RGN,1109
Thu May 19 00:00:00 2022,RGN,974
Wed May 18 00:00:00 2022,RGN,878
Fri May 20 00:00:00 2022,RGN,795
Mon May 16 00:00:00 2022,RGN,633
Wed May 18 00:00:00 2022,DMS,555
Wed May 18 00:00:00 2022,Tabaret,498
Tue May 17 00:00:00 2022,DMS,471
Thu May 19 00:00:00 2022,DMS,405
Thu May 19 00:00:00 2022,Tabaret,395
Tue May 17 00:00:00 2022,Tabaret,378
Tue May 17 00:00:00 2022,FSS,354
Tue May 17 00:00:00 2022,CBY,325
Thu May 19 00:00:00 2022,CBY,321
Mon May 16 00:00:00 2022,CRX,319
Wed May 18 00:00:00 2022,FSS,317
Wed May 18 00:00:00 2022,CBY,313
Mon May 16 00:00:00 2022,FSS,312
Mon May 16 00:00:00 2022,DMS,310
Thu May 19 00:00:00 2022,FSS,302
Fri May 20 00:00:00 2022,CBY,290
Tue May 17 00:00:00 2022,Fauteux,281
Mon May 23 00:00:00 2022,RGN,258
Mon May 16 00:00:00 2022,CBY,257
Mon May 16 00:00:00 2022,Morisset,239
Wed May 18 00:00:00 2022,Vanier,237
Tue May 17 00:00:00 2022,MontPetit,236
Fri May 20 00:00:00 2022,Tabaret,236
Sun May 22 00:00:00 2022,RGN,235
Thu May 19 00:00:00 2022,Vanier,231
Fri May 20 00:00:00 2022,FSS,222
Wed May 18 00:00:00 2022,ARC,221
Mon May 16 00:00:00 2022,Tabaret,215
Wed May 18 00:00:00 2022,Morisset,210
Wed May 18 00:00:00 2022,STEM,210
Wed May 18 00:00:00 2022,Diorio,207
Tue May 17 00:00:00 2022,Diorio,206
Fri May 20 00:00:00 2022,STEM,206
Wed May 18 00:00:00 2022,MontPetit,203
Thu May 19 00:00:00 2022,Diorio,202
Tue May 17 00:00:00 2022,STEM,202
Tue May 17 00:00:00 2022,CRX,201
Fri May 20 00:00:00 2022,DMS,199
Mon May 16 00:00:00 2022,SITE,199
Thu May 19 00:00:00 2022,ARC,198
Thu May 19 00:00:00 2022,STEM,197
Wed May 18 00:00:00 2022,Fauteux,195
Thu May 19 00:00:00 2022,Arts,194
Tue May 17 00:00:00 2022,Morisset,194
Mon May 16 00:00:00 2022,MontPetit,193
Fri May 20 00:00:00 2022,ARC,191
Wed May 18 00:00:00 2022,Arts,191
Mon May 23 00:00:00 2022,CRX,191
Thu May 19 00:00:00 2022,Fauteux,191
Thu May 19 00:00:00 2022,CRX,190
Wed May 18 00:00:00 2022,CRX,189
Tue May 17 00:00:00 2022,ARC,187
Mon May 23 00:00:00 2022,CBY,187
