_time,Building,Clients
Wed Mar 16 00:00:00 2022,CRX,879
Tue Mar 15 00:00:00 2022,RGN,879
Tue Mar 15 00:00:00 2022,CRX,876
Wed Mar 16 00:00:00 2022,RGN,875
Mon Mar 21 00:00:00 2022,RGN,858
Thu Mar 17 00:00:00 2022,RGN,841
Mon Mar 21 00:00:00 2022,CRX,817
Fri Mar 18 00:00:00 2022,RGN,738
Fri Mar 18 00:00:00 2022,CRX,736
Thu Mar 17 00:00:00 2022,UniCenter,722
Mon Mar 21 00:00:00 2022,FSS,685
Tue Mar 15 00:00:00 2022,Morisset,679
Mon Mar 21 00:00:00 2022,Morisset,661
Fri Mar 18 00:00:00 2022,UniCenter,644
Tue Mar 15 00:00:00 2022,UniCenter,640
Wed Mar 16 00:00:00 2022,UniCenter,594
Mon Mar 21 00:00:00 2022,UniCenter,578
Mon Mar 14 00:00:00 2022,CRX,573
Thu Mar 17 00:00:00 2022,CRX,567
Wed Mar 16 00:00:00 2022,FSS,567
Wed Mar 16 00:00:00 2022,Morisset,555
Tue Mar 15 00:00:00 2022,FSS,553
Mon Mar 21 00:00:00 2022,SITE,525
Mon Mar 14 00:00:00 2022,Morisset,501
Wed Mar 16 00:00:00 2022,DMS,496
Thu Mar 17 00:00:00 2022,DMS,491
Thu Mar 17 00:00:00 2022,FSS,489
Tue Mar 15 00:00:00 2022,Tabaret,461
Mon Mar 21 00:00:00 2022,DMS,458
Wed Mar 16 00:00:00 2022,Tabaret,458
Wed Mar 16 00:00:00 2022,SITE,455
Thu Mar 17 00:00:00 2022,Morisset,453
Fri Mar 18 00:00:00 2022,SITE,452
Fri Mar 18 00:00:00 2022,FSS,449
Fri Mar 18 00:00:00 2022,Morisset,441
Tue Mar 15 00:00:00 2022,SITE,439
Sat Mar 19 00:00:00 2022,CRX,431
Mon Mar 14 00:00:00 2022,UniCenter,426
Fri Mar 18 00:00:00 2022,DMS,424
Sat Mar 19 00:00:00 2022,UniCenter,420
Mon Mar 21 00:00:00 2022,STEM,418
Tue Mar 15 00:00:00 2022,DMS,414
Fri Mar 18 00:00:00 2022,STEM,414
Sun Mar 20 00:00:00 2022,CRX,412
Mon Mar 21 00:00:00 2022,Tabaret,405
Thu Mar 17 00:00:00 2022,STEM,399
Wed Mar 16 00:00:00 2022,CBY,391
Thu Mar 17 00:00:00 2022,SITE,382
Tue Mar 15 00:00:00 2022,STEM,381
Thu Mar 17 00:00:00 2022,Fauteux,373
Wed Mar 16 00:00:00 2022,STEM,368
Fri Mar 18 00:00:00 2022,Tabaret,364
Mon Mar 21 00:00:00 2022,CBY,345
Tue Mar 15 00:00:00 2022,CBY,344
Thu Mar 17 00:00:00 2022,MontPetit,342
Thu Mar 17 00:00:00 2022,Tabaret,334
Thu Mar 17 00:00:00 2022,Vanier,328
Mon Mar 21 00:00:00 2022,Vanier,326
Tue Mar 15 00:00:00 2022,Fauteux,321
Wed Mar 16 00:00:00 2022,Marion,321
Wed Mar 16 00:00:00 2022,Fauteux,314
Thu Mar 17 00:00:00 2022,CBY,313
Sat Mar 19 00:00:00 2022,Morisset,306
Mon Mar 21 00:00:00 2022,Fauteux,303
Mon Mar 21 00:00:00 2022,MontPetit,299
Sun Mar 20 00:00:00 2022,Morisset,292
Wed Mar 16 00:00:00 2022,bioScience,287
Tue Mar 15 00:00:00 2022,bioScience,285
Thu Mar 17 00:00:00 2022,bioScience,281
Mon Mar 14 00:00:00 2022,FSS,268
Mon Mar 21 00:00:00 2022,Marion,260
Wed Mar 16 00:00:00 2022,MontPetit,258
Mon Mar 14 00:00:00 2022,RGN,258
Thu Mar 17 00:00:00 2022,Marion,257
Tue Mar 15 00:00:00 2022,Vanier,257
Fri Mar 18 00:00:00 2022,CBY,255
Wed Mar 16 00:00:00 2022,Vanier,254
Sat Mar 19 00:00:00 2022,FSS,251
Sat Mar 19 00:00:00 2022,MontPetit,249
Fri Mar 18 00:00:00 2022,Marion,245
Tue Mar 15 00:00:00 2022,Marion,242
Sun Mar 20 00:00:00 2022,UniCenter,238
Tue Mar 15 00:00:00 2022,MontPetit,237
Mon Mar 21 00:00:00 2022,bioScience,231
Fri Mar 18 00:00:00 2022,Fauteux,229
Wed Mar 16 00:00:00 2022,SPX,227
Tue Mar 15 00:00:00 2022,LMX,225
Mon Mar 21 00:00:00 2022,LMX,225
Tue Mar 15 00:00:00 2022,SPX,222
Sat Mar 19 00:00:00 2022,STEM,219
Fri Mar 18 00:00:00 2022,bioScience,217
Thu Mar 17 00:00:00 2022,LMX,216
Fri Mar 18 00:00:00 2022,LMX,214
Mon Mar 14 00:00:00 2022,SITE,214
Mon Mar 21 00:00:00 2022,SPX,207
Wed Mar 16 00:00:00 2022,LMX,205
Mon Mar 21 00:00:00 2022,ARC,199
Fri Mar 18 00:00:00 2022,SPX,199
Mon Mar 14 00:00:00 2022,Fauteux,198
Mon Mar 14 00:00:00 2022,DMS,193
Thu Mar 17 00:00:00 2022,SPX,193
Fri Mar 18 00:00:00 2022,MontPetit,192
Wed Mar 16 00:00:00 2022,Diorio,190
Fri Mar 18 00:00:00 2022,Diorio,190
Mon Mar 14 00:00:00 2022,STEM,186
Wed Mar 16 00:00:00 2022,ARC,183
Mon Mar 21 00:00:00 2022,Diorio,183
Fri Mar 18 00:00:00 2022,Vanier,183
Tue Mar 15 00:00:00 2022,Diorio,181
Sun Mar 20 00:00:00 2022,RGN,179
Thu Mar 17 00:00:00 2022,Diorio,177
Wed Mar 16 00:00:00 2022,Arts,175
Mon Mar 21 00:00:00 2022,Arts,174
Sun Mar 20 00:00:00 2022,STEM,170
Tue Mar 15 00:00:00 2022,ARC,168
Sat Mar 19 00:00:00 2022,SITE,166
Sat Mar 19 00:00:00 2022,SPX,166
Thu Mar 17 00:00:00 2022,ARC,165
Sat Mar 19 00:00:00 2022,Fauteux,160
Sun Mar 20 00:00:00 2022,FSS,156
Mon Mar 14 00:00:00 2022,CBY,153
Fri Mar 18 00:00:00 2022,ARC,151
Thu Mar 17 00:00:00 2022,Arts,148
