_time,Building,Clients
Tue Apr  5 00:00:00 2022,LPR,130
Mon Apr  4 00:00:00 2022,STEM,130
Mon Apr 11 00:00:00 2022,SPX,129
Thu Apr  7 00:00:00 2022,Arts,126
Tue Apr  5 00:00:00 2022,Simard,126
Sat Apr  9 00:00:00 2022,STEM,125
Wed Apr  6 00:00:00 2022,Perez,124
Mon Apr 11 00:00:00 2022,Vanier,121
Tue Apr  5 00:00:00 2022,Perez,119
Mon Apr 11 00:00:00 2022,Diorio,118
Mon Apr  4 00:00:00 2022,SPX,117
Fri Apr  8 00:00:00 2022,Morriset,115
Sun Apr 10 00:00:00 2022,RGN,115
Thu Apr  7 00:00:00 2022,Morriset,114
Mon Apr  4 00:00:00 2022,Vanier,113
Wed Apr  6 00:00:00 2022,CAREG,112
Tue Apr  5 00:00:00 2022,CAREG,111
Wed Apr  6 00:00:00 2022,Simard,111
Thu Apr  7 00:00:00 2022,CAREG,110
Sat Apr  9 00:00:00 2022,CBY,109
Fri Apr  8 00:00:00 2022,Simard,108
Thu Apr  7 00:00:00 2022,Perez,107
Mon Apr 11 00:00:00 2022,Marion,104
Fri Apr  8 00:00:00 2022,Perez,104
Fri Apr  8 00:00:00 2022,CAREG,103
Mon Apr  4 00:00:00 2022,MontPetit,101
Wed Apr  6 00:00:00 2022,Thompson,100
Tue Apr  5 00:00:00 2022,Thompson,99
Mon Apr  4 00:00:00 2022,ARC,98
Mon Apr 11 00:00:00 2022,bioScience,96
Mon Apr  4 00:00:00 2022,Arts,93
Tue Apr  5 00:00:00 2022,Morriset,93
Wed Apr  6 00:00:00 2022,100 Laurier,91
Thu Apr  7 00:00:00 2022,LEES BLOCK E,91
Sat Apr  9 00:00:00 2022,DMS,90
Mon Apr  4 00:00:00 2022,Perez,90
Mon Apr  4 00:00:00 2022,Diorio,89
Mon Apr 11 00:00:00 2022,MontPetit,88
Sun Apr 10 00:00:00 2022,CBY,84
Tue Apr  5 00:00:00 2022,LEES BLOCK E,84
Thu Apr  7 00:00:00 2022,Thompson,84
Tue Apr  5 00:00:00 2022,100 Laurier,83
Mon Apr  4 00:00:00 2022,LMX,82
Mon Apr  4 00:00:00 2022,Morriset,82
Tue Apr  5 00:00:00 2022,LEES BLOCK A,80
Thu Apr  7 00:00:00 2022,Simard,80
Mon Apr  4 00:00:00 2022,Tabaret,79
Wed Apr  6 00:00:00 2022,MCU,78
Mon Apr  4 00:00:00 2022,Marion,78
Wed Apr  6 00:00:00 2022,LEES BLOCK E,77
Sat Apr  9 00:00:00 2022,LMX,76
Fri Apr  8 00:00:00 2022,100 Laurier,74
Thu Apr  7 00:00:00 2022,MCU,74
Sun Apr 10 00:00:00 2022,UniCenter,74
Fri Apr  8 00:00:00 2022,Arts,73
Tue Apr  5 00:00:00 2022,MCU,73
Mon Apr 11 00:00:00 2022,Perez,72
Fri Apr  8 00:00:00 2022,MCU,70
Sat Apr  9 00:00:00 2022,MontPetit,64
Sat Apr  9 00:00:00 2022,Morriset,63
Tue Apr  5 00:00:00 2022,Hagen,62
Wed Apr  6 00:00:00 2022,Hagen,62
Sat Apr  9 00:00:00 2022,Vanier,62
Sun Apr 10 00:00:00 2022,ARC,61
Mon Apr 11 00:00:00 2022,MCU,60
Wed Apr  6 00:00:00 2022,1 Stewart,59
Fri Apr  8 00:00:00 2022,Thompson,59
Thu Apr  7 00:00:00 2022,1 Stewart,58
Wed Apr  6 00:00:00 2022,KED,58
Thu Apr  7 00:00:00 2022,100 Laurier,57
Thu Apr  7 00:00:00 2022,LEES BLOCK A,57
Wed Apr  6 00:00:00 2022,Seraphin Marion,57
Fri Apr  8 00:00:00 2022,Hagen,56
Fri Apr  8 00:00:00 2022,KED,56
Sat Apr  9 00:00:00 2022,Perez,56
Tue Apr  5 00:00:00 2022,Seraphin Marion,56
Tue Apr  5 00:00:00 2022,KED,55
Mon Apr  4 00:00:00 2022,LEES BLOCK A,55
Sun Apr 10 00:00:00 2022,STEM,55
Fri Apr  8 00:00:00 2022,LEES BLOCK E,54
Mon Apr 11 00:00:00 2022,CAREG,53
Sat Apr  9 00:00:00 2022,EMBA,52
Thu Apr  7 00:00:00 2022,Hagen,52
Sun Apr 10 00:00:00 2022,Morisset,52
Sat Apr  9 00:00:00 2022,Tabaret,52
Mon Apr  4 00:00:00 2022,bioScience,50
Sun Apr 10 00:00:00 2022,SITE,49
Mon Apr  4 00:00:00 2022,Thompson,49
Mon Apr 11 00:00:00 2022,LPR,48
Sat Apr  9 00:00:00 2022,ARC,47
Mon Apr 11 00:00:00 2022,Thompson,47
Tue Apr  5 00:00:00 2022,1 Stewart,46
Thu Apr  7 00:00:00 2022,KED,46
Tue Apr  5 00:00:00 2022,Brooks,45
Sun Apr 10 00:00:00 2022,Fauteux,45
Wed Apr  6 00:00:00 2022,600 Peter Morand,44
Mon Apr 11 00:00:00 2022,Arts,43
Sun Apr 10 00:00:00 2022,SPX,43
Mon Apr 11 00:00:00 2022,100 Laurier,42
Tue Apr  5 00:00:00 2022,600 Peter Morand,41
Sat Apr  9 00:00:00 2022,Diorio,41
Mon Apr 11 00:00:00 2022,Hagen,41
Mon Apr  4 00:00:00 2022,Simard,41
Fri Apr  8 00:00:00 2022,1 Stewart,40
Mon Apr  4 00:00:00 2022,CAREG,40
Sun Apr 10 00:00:00 2022,CRX,40
Sun Apr 10 00:00:00 2022,DMS,40
Sat Apr  9 00:00:00 2022,Marion,40
Thu Apr  7 00:00:00 2022,Seraphin Marion,40
Mon Apr  4 00:00:00 2022,100 Laurier,39
Mon Apr 11 00:00:00 2022,LEES BLOCK E,39
Sun Apr 10 00:00:00 2022,FSS,38
Mon Apr 11 00:00:00 2022,KED,37
Sun Apr 10 00:00:00 2022,Marion,37
Thu Apr  7 00:00:00 2022,600 Peter Morand,36
Sun Apr 10 00:00:00 2022,CAREG,36
Fri Apr  8 00:00:00 2022,600 Peter Morand,35
Sat Apr  9 00:00:00 2022,CAREG,35
Sat Apr  9 00:00:00 2022,850 Peter Morand,34
Fri Apr  8 00:00:00 2022,EMBA,34
Mon Apr  4 00:00:00 2022,KED,34
Sat Apr  9 00:00:00 2022,bioScience,34
Sat Apr  9 00:00:00 2022,KED,33
Mon Apr  4 00:00:00 2022,MCU,33
Sat Apr  9 00:00:00 2022,Thompson,33
Wed Apr  6 00:00:00 2022,Brooks,32
Mon Apr 11 00:00:00 2022,Simard,32
Thu Apr  7 00:00:00 2022,Brooks,30
Fri Apr  8 00:00:00 2022,Seraphin Marion,30
Sun Apr 10 00:00:00 2022,Tabaret,30
Sun Apr 10 00:00:00 2022,bioScience,30
Fri Apr  8 00:00:00 2022,Brooks,29
Tue Apr  5 00:00:00 2022,EMBA,29
Sat Apr  9 00:00:00 2022,LEES BLOCK A,29
Sun Apr 10 00:00:00 2022,LPR,29
Wed Apr  6 00:00:00 2022,200 Wilbrod,28
Sun Apr 10 00:00:00 2022,Diorio,28
