_time,Building,Clients
Tue Apr 19 00:00:00 2022,RGN,1911
Thu Apr 21 00:00:00 2022,RGN,1669
Mon Apr 25 00:00:00 2022,RGN,974
Thu Apr 21 00:00:00 2022,CRX,933
Wed Apr 20 00:00:00 2022,RGN,929
Thu Apr 21 00:00:00 2022,Morisset,918
Thu Apr 21 00:00:00 2022,UniCenter,870
Tue Apr 19 00:00:00 2022,CRX,862
Fri Apr 22 00:00:00 2022,RGN,833
Tue Apr 19 00:00:00 2022,UniCenter,829
Tue Apr 19 00:00:00 2022,Morisset,804
Thu Apr 21 00:00:00 2022,FSS,780
Wed Apr 20 00:00:00 2022,Morisset,705
Thu Apr 21 00:00:00 2022,Tabaret,679
Tue Apr 19 00:00:00 2022,FSS,677
Tue Apr 19 00:00:00 2022,DMS,643
Tue Apr 19 00:00:00 2022,Tabaret,594
Thu Apr 21 00:00:00 2022,DMS,556
Thu Apr 21 00:00:00 2022,CBY,526
Thu Apr 21 00:00:00 2022,SITE,523
Tue Apr 19 00:00:00 2022,STEM,508
Thu Apr 21 00:00:00 2022,STEM,506
Wed Apr 20 00:00:00 2022,FSS,494
Tue Apr 19 00:00:00 2022,SITE,493
Mon Apr 18 00:00:00 2022,Morisset,487
Thu Apr 21 00:00:00 2022,Fauteux,483
Fri Apr 22 00:00:00 2022,CRX,478
Wed Apr 20 00:00:00 2022,UniCenter,475
Wed Apr 20 00:00:00 2022,CRX,463
Tue Apr 19 00:00:00 2022,CBY,462
Fri Apr 22 00:00:00 2022,UniCenter,456
Fri Apr 22 00:00:00 2022,FSS,446
Sun Apr 24 00:00:00 2022,CRX,429
Tue Apr 19 00:00:00 2022,Fauteux,413
Mon Apr 25 00:00:00 2022,UniCenter,406
Mon Apr 18 00:00:00 2022,UniCenter,404
Mon Apr 25 00:00:00 2022,CRX,382
Wed Apr 20 00:00:00 2022,Tabaret,376
Mon Apr 25 00:00:00 2022,Morisset,362
Fri Apr 22 00:00:00 2022,Morisset,360
Tue Apr 19 00:00:00 2022,ARC,356
Sat Apr 23 00:00:00 2022,CRX,355
Thu Apr 21 00:00:00 2022,ARC,345
Tue Apr 19 00:00:00 2022,MontPetit,340
Thu Apr 21 00:00:00 2022,SPX,333
Mon Apr 25 00:00:00 2022,Tabaret,327
Wed Apr 20 00:00:00 2022,DMS,325
Thu Apr 21 00:00:00 2022,LMX,320
Mon Apr 25 00:00:00 2022,DMS,309
Wed Apr 20 00:00:00 2022,Fauteux,309
Thu Apr 21 00:00:00 2022,Arts,304
Thu Apr 21 00:00:00 2022,Diorio,303
Tue Apr 19 00:00:00 2022,SPX,301
Wed Apr 20 00:00:00 2022,SITE,293
Sun Apr 24 00:00:00 2022,Morisset,292
Thu Apr 21 00:00:00 2022,Vanier,289
Tue Apr 19 00:00:00 2022,Diorio,283
Wed Apr 20 00:00:00 2022,CBY,281
