_time,Building,Clients
Thu May 12 00:00:00 2022,RGN,2225
Tue May 10 00:00:00 2022,RGN,2169
Mon May 16 00:00:00 2022,RGN,2146
Wed May 11 00:00:00 2022,RGN,2060
Fri May 13 00:00:00 2022,RGN,1749
Wed May 11 00:00:00 2022,Tabaret,882
Tue May 10 00:00:00 2022,DMS,788
Tue May 10 00:00:00 2022,Tabaret,785
Mon May 16 00:00:00 2022,FSS,747
Thu May 12 00:00:00 2022,Tabaret,737
Mon May 16 00:00:00 2022,DMS,735
Mon May 16 00:00:00 2022,Tabaret,710
Mon May 16 00:00:00 2022,CBY,666
Tue May 10 00:00:00 2022,CBY,652
Fri May 13 00:00:00 2022,CBY,583
Wed May 11 00:00:00 2022,DMS,553
Wed May 11 00:00:00 2022,CBY,551
Wed May 11 00:00:00 2022,FSS,536
Sat May 14 00:00:00 2022,RGN,526
Fri May 13 00:00:00 2022,Tabaret,524
Sun May 15 00:00:00 2022,RGN,517
Thu May 12 00:00:00 2022,FSS,510
Tue May 10 00:00:00 2022,FSS,502
Thu May 12 00:00:00 2022,DMS,472
Sat May 14 00:00:00 2022,CRX,464
Thu May 12 00:00:00 2022,CBY,463
Mon May 16 00:00:00 2022,Diorio,457
Tue May 10 00:00:00 2022,MontPetit,448
Fri May 13 00:00:00 2022,FSS,445
Tue May 10 00:00:00 2022,STEM,432
Mon May  9 00:00:00 2022,RGN,418
Wed May 11 00:00:00 2022,Vanier,411
Mon May 16 00:00:00 2022,STEM,410
Tue May 10 00:00:00 2022,Arts,405
Tue May 10 00:00:00 2022,Fauteux,399
Fri May 13 00:00:00 2022,DMS,393
Tue May 10 00:00:00 2022,ARC,392
Mon May 16 00:00:00 2022,Fauteux,390
Tue May 10 00:00:00 2022,UniCenter,383
Mon May 16 00:00:00 2022,CRX,381
Mon May 16 00:00:00 2022,Vanier,380
Wed May 11 00:00:00 2022,MontPetit,372
Fri May 13 00:00:00 2022,STEM,372
Tue May 10 00:00:00 2022,Morisset,369
Mon May 16 00:00:00 2022,Morisset,366
Mon May 16 00:00:00 2022,UniCenter,365
Fri May 13 00:00:00 2022,UniCenter,358
Mon May 16 00:00:00 2022,ARC,345
Tue May 10 00:00:00 2022,SITE,344
Tue May 10 00:00:00 2022,Diorio,342
Mon May 16 00:00:00 2022,bioScience,335
Fri May 13 00:00:00 2022,Diorio,334
Mon May 16 00:00:00 2022,LPR,332
Fri May 13 00:00:00 2022,CRX,329
Fri May 13 00:00:00 2022,ARC,324
Tue May 10 00:00:00 2022,bioScience,318
Wed May 11 00:00:00 2022,Fauteux,306
Tue May 10 00:00:00 2022,Marion,300
Wed May 11 00:00:00 2022,LPR,296
Fri May 13 00:00:00 2022,MontPetit,289
Fri May 13 00:00:00 2022,Morisset,288
Wed May 11 00:00:00 2022,CRX,287
Thu May 12 00:00:00 2022,MontPetit,287
Wed May 11 00:00:00 2022,STEM,286
Tue May 10 00:00:00 2022,SPX,283
Tue May 10 00:00:00 2022,LPR,280
Fri May 13 00:00:00 2022,bioScience,278
Wed May 11 00:00:00 2022,Diorio,276
Tue May 10 00:00:00 2022,CRX,275
Mon May 16 00:00:00 2022,Marion,273
Tue May 10 00:00:00 2022,Vanier,273
Mon May 16 00:00:00 2022,SPX,271
Thu May 12 00:00:00 2022,Arts,270
Wed May 11 00:00:00 2022,Morisset,269
Thu May 12 00:00:00 2022,STEM,269
Wed May 11 00:00:00 2022,ARC,268
Wed May 11 00:00:00 2022,UniCenter,263
Mon May 16 00:00:00 2022,SITE,262
Fri May 13 00:00:00 2022,LPR,257
Sun May 15 00:00:00 2022,CRX,256
Sat May 14 00:00:00 2022,Fauteux,256
Fri May 13 00:00:00 2022,SITE,253
Thu May 12 00:00:00 2022,Diorio,250
Thu May 12 00:00:00 2022,CRX,247
Fri May 13 00:00:00 2022,Marion,242
Thu May 12 00:00:00 2022,Morisset,241
Fri May 13 00:00:00 2022,Vanier,241
Wed May 11 00:00:00 2022,bioScience,241
Thu May 12 00:00:00 2022,SITE,237
Thu May 12 00:00:00 2022,Fauteux,236
Fri May 13 00:00:00 2022,SPX,236
Thu May 12 00:00:00 2022,LPR,233
Fri May 13 00:00:00 2022,Fauteux,232
Thu May 12 00:00:00 2022,Vanier,226
Thu May 12 00:00:00 2022,ARC,225
Mon May 16 00:00:00 2022,MontPetit,221
Thu May 12 00:00:00 2022,bioScience,221
Fri May 13 00:00:00 2022,Arts,217
Mon May 16 00:00:00 2022,CAREG,217
Wed May 11 00:00:00 2022,LMX,215
