_time,Building,Clients
Tue Jun 14 00:00:00 2022,RGN,957
Wed Jun 15 00:00:00 2022,RGN,946
Thu Jun 16 00:00:00 2022,RGN,938
Mon Jun 20 00:00:00 2022,RGN,895
Fri Jun 17 00:00:00 2022,RGN,830
Wed Jun 15 00:00:00 2022,Tabaret,417
Tue Jun 14 00:00:00 2022,Tabaret,386
Mon Jun 20 00:00:00 2022,Tabaret,384
Tue Jun 14 00:00:00 2022,DMS,362
Wed Jun 15 00:00:00 2022,DMS,358
Mon Jun 20 00:00:00 2022,DMS,352
Fri Jun 17 00:00:00 2022,CBY,342
Tue Jun 14 00:00:00 2022,CBY,335
Thu Jun 16 00:00:00 2022,Tabaret,329
Wed Jun 15 00:00:00 2022,CBY,322
Wed Jun 15 00:00:00 2022,FSS,321
Thu Jun 16 00:00:00 2022,CBY,319
Thu Jun 16 00:00:00 2022,FSS,317
Mon Jun 20 00:00:00 2022,CBY,312
Wed Jun 15 00:00:00 2022,CRX,298
Tue Jun 14 00:00:00 2022,FSS,276
Mon Jun 20 00:00:00 2022,MontPetit,257
Thu Jun 16 00:00:00 2022,DMS,256
Fri Jun 17 00:00:00 2022,Tabaret,251
Fri Jun 17 00:00:00 2022,STEM,239
Tue Jun 14 00:00:00 2022,STEM,236
Thu Jun 16 00:00:00 2022,STEM,231
Mon Jun 13 00:00:00 2022,RGN,230
Tue Jun 14 00:00:00 2022,CRX,226
Tue Jun 14 00:00:00 2022,Morisset,224
Wed Jun 15 00:00:00 2022,STEM,222
Wed Jun 15 00:00:00 2022,Morisset,217
Mon Jun 20 00:00:00 2022,FSS,216
Mon Jun 20 00:00:00 2022,ARC,214
Fri Jun 17 00:00:00 2022,FSS,209
Tue Jun 14 00:00:00 2022,UniCenter,208
Thu Jun 16 00:00:00 2022,Fauteux,207
Mon Jun 20 00:00:00 2022,STEM,195
Thu Jun 16 00:00:00 2022,Morisset,194
Thu Jun 16 00:00:00 2022,ARC,193
Thu Jun 16 00:00:00 2022,CRX,193
Wed Jun 15 00:00:00 2022,ARC,192
Fri Jun 17 00:00:00 2022,Fauteux,191
Mon Jun 13 00:00:00 2022,CBY,186
Mon Jun 20 00:00:00 2022,Morisset,186
Tue Jun 14 00:00:00 2022,ARC,185
Tue Jun 14 00:00:00 2022,MontPetit,183
Mon Jun 13 00:00:00 2022,CRX,179
Mon Jun 20 00:00:00 2022,CRX,179
Wed Jun 15 00:00:00 2022,MontPetit,179
Sat Jun 18 00:00:00 2022,RGN,178
Fri Jun 17 00:00:00 2022,SITE,173
Fri Jun 17 00:00:00 2022,UniCenter,172
Fri Jun 17 00:00:00 2022,MontPetit,168
Wed Jun 15 00:00:00 2022,UniCenter,168
Mon Jun 20 00:00:00 2022,bioScience,167
Tue Jun 14 00:00:00 2022,SPX,166
Fri Jun 17 00:00:00 2022,ARC,163
Wed Jun 15 00:00:00 2022,Vanier,163
Fri Jun 17 00:00:00 2022,DMS,161
Fri Jun 17 00:00:00 2022,Morisset,161
Mon Jun 20 00:00:00 2022,Vanier,161
Thu Jun 16 00:00:00 2022,bioScience,160
Wed Jun 15 00:00:00 2022,bioScience,158
Tue Jun 14 00:00:00 2022,LPR,157
Mon Jun 20 00:00:00 2022,Diorio,155
Thu Jun 16 00:00:00 2022,UniCenter,155
Tue Jun 14 00:00:00 2022,Vanier,155
Sun Jun 19 00:00:00 2022,RGN,154
Mon Jun 13 00:00:00 2022,DMS,153
Wed Jun 15 00:00:00 2022,LPR,150
Wed Jun 15 00:00:00 2022,Arts,147
Tue Jun 14 00:00:00 2022,Diorio,147
Wed Jun 15 00:00:00 2022,Diorio,147
Tue Jun 14 00:00:00 2022,SITE,146
Tue Jun 14 00:00:00 2022,bioScience,144
Wed Jun 15 00:00:00 2022,SITE,142
Thu Jun 16 00:00:00 2022,Diorio,139
Fri Jun 17 00:00:00 2022,Diorio,139
Wed Jun 15 00:00:00 2022,SPX,137
Mon Jun 20 00:00:00 2022,UniCenter,136
Mon Jun 20 00:00:00 2022,SPX,132
Mon Jun 20 00:00:00 2022,LPR,131
Thu Jun 16 00:00:00 2022,MontPetit,131
Wed Jun 15 00:00:00 2022,Fauteux,129
Fri Jun 17 00:00:00 2022,bioScience,129
Mon Jun 20 00:00:00 2022,Marion,128
Thu Jun 16 00:00:00 2022,Vanier,128
Thu Jun 16 00:00:00 2022,SPX,127
Thu Jun 16 00:00:00 2022,SITE,123
Wed Jun 15 00:00:00 2022,Marion,122
Fri Jun 17 00:00:00 2022,CRX,121
Thu Jun 16 00:00:00 2022,Arts,120
Mon Jun 20 00:00:00 2022,Fauteux,119
Thu Jun 16 00:00:00 2022,CAREG,117
Thu Jun 16 00:00:00 2022,LPR,117
Fri Jun 17 00:00:00 2022,Vanier,117
Sat Jun 18 00:00:00 2022,CRX,116
Tue Jun 14 00:00:00 2022,Marion,116
Tue Jun 14 00:00:00 2022,Fauteux,114
Wed Jun 15 00:00:00 2022,CAREG,113
Tue Jun 14 00:00:00 2022,CAREG,112
Mon Jun 13 00:00:00 2022,MontPetit,111
Fri Jun 17 00:00:00 2022,Marion,109
Mon Jun 13 00:00:00 2022,Morisset,109
Fri Jun 17 00:00:00 2022,SPX,108
Mon Jun 13 00:00:00 2022,ARC,107
Fri Jun 17 00:00:00 2022,LPR,107
Fri Jun 17 00:00:00 2022,CAREG,106
Sat Jun 18 00:00:00 2022,DMS,105
Mon Jun 13 00:00:00 2022,FSS,103
Mon Jun 13 00:00:00 2022,STEM,103
Wed Jun 15 00:00:00 2022,LEES BLOCK E,102
Mon Jun 20 00:00:00 2022,SITE,102
Wed Jun 15 00:00:00 2022,LMX,100
Thu Jun 16 00:00:00 2022,Marion,99
Mon Jun 20 00:00:00 2022,CAREG,98
Sat Jun 18 00:00:00 2022,CBY,98
Sun Jun 19 00:00:00 2022,CBY,93
Sun Jun 19 00:00:00 2022,DMS,93
Wed Jun 15 00:00:00 2022,1 Stewart,92
Sun Jun 19 00:00:00 2022,CRX,92
Sat Jun 18 00:00:00 2022,Morisset,84
Fri Jun 17 00:00:00 2022,Arts,83
Tue Jun 14 00:00:00 2022,Arts,81
Mon Jun 13 00:00:00 2022,SPX,81
Wed Jun 15 00:00:00 2022,Simard,78
Mon Jun 20 00:00:00 2022,Simard,78
Thu Jun 16 00:00:00 2022,LEES BLOCK E,77
Tue Jun 14 00:00:00 2022,LMX,77
Mon Jun 20 00:00:00 2022,LEES BLOCK E,76
Thu Jun 16 00:00:00 2022,LMX,72
Sun Jun 19 00:00:00 2022,SPX,72
Tue Jun 14 00:00:00 2022,Simard,70
Sat Jun 18 00:00:00 2022,STEM,69
Sun Jun 19 00:00:00 2022,MontPetit,67
Tue Jun 14 00:00:00 2022,LEES BLOCK E,64
Mon Jun 20 00:00:00 2022,LMX,64
Sat Jun 18 00:00:00 2022,SPX,64
Sat Jun 18 00:00:00 2022,FSS,63
Wed Jun 15 00:00:00 2022,850 Peter Morand,61
Fri Jun 17 00:00:00 2022,LEES BLOCK E,60
Sun Jun 19 00:00:00 2022,ARC,59
Tue Jun 14 00:00:00 2022,Brooks,59
Sun Jun 19 00:00:00 2022,FSS,58
Mon Jun 13 00:00:00 2022,SITE,58
Mon Jun 13 00:00:00 2022,Tabaret,58
Thu Jun 16 00:00:00 2022,Simard,54
Mon Jun 13 00:00:00 2022,Vanier,54
Mon Jun 20 00:00:00 2022,Arts,53
Sun Jun 19 00:00:00 2022,STEM,53
Tue Jun 14 00:00:00 2022,600 Peter Morand,52
Tue Jun 14 00:00:00 2022,Hagen,52
Fri Jun 17 00:00:00 2022,LMX,52
Mon Jun 13 00:00:00 2022,Diorio,51
Tue Jun 14 00:00:00 2022,LEES BLOCK A,51
Wed Jun 15 00:00:00 2022,600 Peter Morand,50
Mon Jun 20 00:00:00 2022,Brooks,49
Fri Jun 17 00:00:00 2022,Simard,49
Mon Jun 13 00:00:00 2022,bioScience,49
Wed Jun 15 00:00:00 2022,Brooks,48
Fri Jun 17 00:00:00 2022,Brooks,48
Sat Jun 18 00:00:00 2022,ARC,46
Thu Jun 16 00:00:00 2022,Hagen,46
Thu Jun 16 00:00:00 2022,Brooks,45
Wed Jun 15 00:00:00 2022,Hagen,45
Fri Jun 17 00:00:00 2022,KED,44
Mon Jun 13 00:00:00 2022,Marion,44
Thu Jun 16 00:00:00 2022,EMBA,42
Mon Jun 20 00:00:00 2022,EMBA,42
Thu Jun 16 00:00:00 2022,KED,42
Mon Jun 13 00:00:00 2022,LMX,42
Sun Jun 19 00:00:00 2022,Morisset,42
Tue Jun 14 00:00:00 2022,850 Peter Morand,41
Tue Jun 14 00:00:00 2022,KED,41
Wed Jun 15 00:00:00 2022,LEES BLOCK A,41
Tue Jun 14 00:00:00 2022,1 Stewart,40
Thu Jun 16 00:00:00 2022,1 Stewart,40
Wed Jun 15 00:00:00 2022,KED,40
Sat Jun 18 00:00:00 2022,SITE,40
Mon Jun 20 00:00:00 2022,1 Stewart,39
Thu Jun 16 00:00:00 2022,Thompson,39
Mon Jun 13 00:00:00 2022,UniCenter,39
Sun Jun 19 00:00:00 2022,SITE,38
Fri Jun 17 00:00:00 2022,1 Stewart,37
Mon Jun 13 00:00:00 2022,Fauteux,37
Sat Jun 18 00:00:00 2022,MontPetit,37
Mon Jun 20 00:00:00 2022,Hagen,35
Tue Jun 14 00:00:00 2022,MCU,35
Fri Jun 17 00:00:00 2022,MCU,35
Sun Jun 19 00:00:00 2022,Fauteux,34
Mon Jun 20 00:00:00 2022,KED,34
Thu Jun 16 00:00:00 2022,LEES BLOCK A,34
Sat Jun 18 00:00:00 2022,Vanier,34
Mon Jun 20 00:00:00 2022,LEES BLOCK A,33
Wed Jun 15 00:00:00 2022,535 Legget,32
Mon Jun 13 00:00:00 2022,CAREG,32
Thu Jun 16 00:00:00 2022,MCU,32
Sun Jun 19 00:00:00 2022,Sacre Coeur,32
Mon Jun 20 00:00:00 2022,600 Peter Morand,31
Wed Jun 15 00:00:00 2022,MCU,31
Tue Jun 14 00:00:00 2022,Thompson,31
Mon Jun 20 00:00:00 2022,850 Peter Morand,30
Sun Jun 19 00:00:00 2022,bioScience,30
Sun Jun 19 00:00:00 2022,CAREG,29
Sat Jun 18 00:00:00 2022,Fauteux,29
Sat Jun 18 00:00:00 2022,LPR,29
Mon Jun 13 00:00:00 2022,Morriset,29
Wed Jun 15 00:00:00 2022,Perez,29
Wed Jun 15 00:00:00 2022,Thompson,29
Sat Jun 18 00:00:00 2022,bioScience,29
Sat Jun 18 00:00:00 2022,CAREG,28
Sat Jun 18 00:00:00 2022,Tabaret,28
Mon Jun 13 00:00:00 2022,Arts,27
Mon Jun 20 00:00:00 2022,MCU,27
Tue Jun 14 00:00:00 2022,Morriset,27
Fri Jun 17 00:00:00 2022,600 Peter Morand,26
Fri Jun 17 00:00:00 2022,AlumniHouse,26
Sat Jun 18 00:00:00 2022,Diorio,26
Tue Jun 14 00:00:00 2022,EMBA,26
Sun Jun 19 00:00:00 2022,Marion,26
Sun Jun 19 00:00:00 2022,Vanier,26
Tue Jun 14 00:00:00 2022,535 Legget,25
Thu Jun 16 00:00:00 2022,600 Peter Morand,25
Fri Jun 17 00:00:00 2022,Hagen,25
Mon Jun 13 00:00:00 2022,KED,25
Thu Jun 16 00:00:00 2022,Perez,25
Fri Jun 17 00:00:00 2022,Perez,25
Sun Jun 19 00:00:00 2022,Tabaret,25
Mon Jun 20 00:00:00 2022,Thompson,25
Sun Jun 19 00:00:00 2022,UniCenter,25
Thu Jun 16 00:00:00 2022,850 Peter Morand,24
Fri Jun 17 00:00:00 2022,850 Peter Morand,24
Tue Jun 14 00:00:00 2022,AlumniHouse,24
Mon Jun 13 00:00:00 2022,LPR,24
Fri Jun 17 00:00:00 2022,Morriset,24
Sun Jun 19 00:00:00 2022,Simard,24
Mon Jun 13 00:00:00 2022,Simard,23
Mon Jun 20 00:00:00 2022,535 Legget,22
Mon Jun 13 00:00:00 2022,LEES BLOCK E,22
Wed Jun 15 00:00:00 2022,Morriset,22
Mon Jun 20 00:00:00 2022,Perez,22
Sat Jun 18 00:00:00 2022,UniCenter,22
Thu Jun 16 00:00:00 2022,535 Legget,21
Wed Jun 15 00:00:00 2022,EMBA,21
Sun Jun 19 00:00:00 2022,LPR,21
Tue Jun 14 00:00:00 2022,Perez,21
Sun Jun 19 00:00:00 2022,Arts,20
Mon Jun 20 00:00:00 2022,Morriset,20
Wed Jun 15 00:00:00 2022,Seraphin Marion,20
Wed Jun 15 00:00:00 2022,100 Laurier,19
Mon Jun 20 00:00:00 2022,100 Laurier,19
Fri Jun 17 00:00:00 2022,535 Legget,19
Sun Jun 19 00:00:00 2022,Diorio,19
Sat Jun 18 00:00:00 2022,Marion,19
Mon Jun 20 00:00:00 2022,Seraphin Marion,19
Mon Jun 13 00:00:00 2022,Hagen,18
Fri Jun 17 00:00:00 2022,LEES BLOCK A,18
Tue Jun 14 00:00:00 2022,Stewart,18
