_time,Building,Clients
Fri Jun  3 00:00:00 2022,RGN,1196
Wed Jun  1 00:00:00 2022,RGN,1010
Tue May 31 00:00:00 2022,RGN,948
Mon Jun  6 00:00:00 2022,RGN,744
Thu Jun  2 00:00:00 2022,RGN,730
Wed Jun  1 00:00:00 2022,Tabaret,533
Fri Jun  3 00:00:00 2022,CBY,500
Fri Jun  3 00:00:00 2022,FSS,482
Tue May 31 00:00:00 2022,Tabaret,477
Fri Jun  3 00:00:00 2022,Tabaret,474
Fri Jun  3 00:00:00 2022,STEM,460
Thu Jun  2 00:00:00 2022,Tabaret,407
Mon Jun  6 00:00:00 2022,DMS,405
Wed Jun  1 00:00:00 2022,DMS,388
Mon Jun  6 00:00:00 2022,Tabaret,347
Tue May 31 00:00:00 2022,CBY,343
Wed Jun  1 00:00:00 2022,CBY,338
Fri Jun  3 00:00:00 2022,DMS,326
Mon Jun  6 00:00:00 2022,CBY,322
Tue May 31 00:00:00 2022,DMS,305
Fri Jun  3 00:00:00 2022,Diorio,302
Wed Jun  1 00:00:00 2022,FSS,302
Thu Jun  2 00:00:00 2022,CBY,294
Thu Jun  2 00:00:00 2022,DMS,294
Tue May 31 00:00:00 2022,Fauteux,293
Fri Jun  3 00:00:00 2022,UniCenter,282
Fri Jun  3 00:00:00 2022,ARC,278
Fri Jun  3 00:00:00 2022,CRX,278
Tue May 31 00:00:00 2022,CRX,272
Tue May 31 00:00:00 2022,FSS,262
Thu Jun  2 00:00:00 2022,FSS,251
Fri Jun  3 00:00:00 2022,Vanier,250
Fri Jun  3 00:00:00 2022,Fauteux,246
Thu Jun  2 00:00:00 2022,Vanier,246
Fri Jun  3 00:00:00 2022,bioScience,244
Fri Jun  3 00:00:00 2022,Morisset,242
Mon May 30 00:00:00 2022,RGN,230
Wed Jun  1 00:00:00 2022,Vanier,229
Tue May 31 00:00:00 2022,MontPetit,226
Wed Jun  1 00:00:00 2022,Fauteux,223
Thu Jun  2 00:00:00 2022,CRX,222
Mon Jun  6 00:00:00 2022,FSS,221
Wed Jun  1 00:00:00 2022,STEM,221
Fri Jun  3 00:00:00 2022,SITE,220
Wed Jun  1 00:00:00 2022,CRX,216
Fri Jun  3 00:00:00 2022,LPR,216
Tue May 31 00:00:00 2022,Morisset,215
Fri Jun  3 00:00:00 2022,SPX,214
Wed Jun  1 00:00:00 2022,Morisset,208
Mon Jun  6 00:00:00 2022,STEM,208
Tue May 31 00:00:00 2022,ARC,207
Tue May 31 00:00:00 2022,Diorio,207
Thu Jun  2 00:00:00 2022,STEM,206
Wed Jun  1 00:00:00 2022,UniCenter,206
Fri Jun  3 00:00:00 2022,Marion,204
Tue May 31 00:00:00 2022,STEM,204
Thu Jun  2 00:00:00 2022,Fauteux,201
Fri Jun  3 00:00:00 2022,MontPetit,200
Mon Jun  6 00:00:00 2022,Morisset,196
Wed Jun  1 00:00:00 2022,ARC,193
Wed Jun  1 00:00:00 2022,Diorio,192
Wed Jun  1 00:00:00 2022,MontPetit,190
Thu Jun  2 00:00:00 2022,Morisset,187
Mon May 30 00:00:00 2022,DMS,186
Thu Jun  2 00:00:00 2022,Arts,185
Thu Jun  2 00:00:00 2022,ARC,183
Mon Jun  6 00:00:00 2022,ARC,183
Mon Jun  6 00:00:00 2022,Diorio,183
Tue May 31 00:00:00 2022,UniCenter,182
Tue May 31 00:00:00 2022,SITE,177
Thu Jun  2 00:00:00 2022,Diorio,176
Tue May 31 00:00:00 2022,Arts,175
Tue May 31 00:00:00 2022,Vanier,174
Thu Jun  2 00:00:00 2022,UniCenter,171
Mon Jun  6 00:00:00 2022,Vanier,171
Wed Jun  1 00:00:00 2022,bioScience,169
Fri Jun  3 00:00:00 2022,CAREG,168
Mon Jun  6 00:00:00 2022,CRX,168
Mon May 30 00:00:00 2022,Morisset,168
Tue May 31 00:00:00 2022,bioScience,167
Tue May 31 00:00:00 2022,SPX,163
Thu Jun  2 00:00:00 2022,bioScience,161
Mon May 30 00:00:00 2022,CBY,160
Wed Jun  1 00:00:00 2022,LPR,156
Wed Jun  1 00:00:00 2022,SPX,153
Wed Jun  1 00:00:00 2022,SITE,150
Wed Jun  1 00:00:00 2022,Arts,147
Mon Jun  6 00:00:00 2022,SITE,147
Mon Jun  6 00:00:00 2022,bioScience,147
Fri Jun  3 00:00:00 2022,850 Peter Morand,146
Mon May 30 00:00:00 2022,CRX,143
Tue May 31 00:00:00 2022,LPR,142
Tue May 31 00:00:00 2022,Marion,139
Wed Jun  1 00:00:00 2022,Marion,139
Mon Jun  6 00:00:00 2022,Fauteux,138
Thu Jun  2 00:00:00 2022,SITE,136
Tue May 31 00:00:00 2022,CAREG,131
Mon Jun  6 00:00:00 2022,SPX,131
Mon Jun  6 00:00:00 2022,LPR,129
Mon May 30 00:00:00 2022,SITE,125
Mon Jun  6 00:00:00 2022,UniCenter,123
Fri Jun  3 00:00:00 2022,Arts,120
Wed Jun  1 00:00:00 2022,CAREG,120
Thu Jun  2 00:00:00 2022,Marion,120
Thu Jun  2 00:00:00 2022,SPX,120
Thu Jun  2 00:00:00 2022,MontPetit,116
Wed Jun  1 00:00:00 2022,LMX,115
Mon Jun  6 00:00:00 2022,Marion,115
Sun Jun  5 00:00:00 2022,CBY,114
Sun Jun  5 00:00:00 2022,CRX,114
Sat Jun  4 00:00:00 2022,CRX,112
Thu Jun  2 00:00:00 2022,LPR,112
Sat Jun  4 00:00:00 2022,CBY,110
Mon May 30 00:00:00 2022,ARC,108
Mon May 30 00:00:00 2022,Fauteux,108
Fri Jun  3 00:00:00 2022,Simard,108
Mon Jun  6 00:00:00 2022,MontPetit,107
Wed Jun  1 00:00:00 2022,LEES BLOCK E,106
Mon Jun  6 00:00:00 2022,Simard,106
Sat Jun  4 00:00:00 2022,LMX,103
Fri Jun  3 00:00:00 2022,LMX,102
Wed Jun  1 00:00:00 2022,Simard,102
Sat Jun  4 00:00:00 2022,RGN,101
Mon May 30 00:00:00 2022,FSS,100
Tue May 31 00:00:00 2022,LMX,100
Sun Jun  5 00:00:00 2022,RGN,98
Thu Jun  2 00:00:00 2022,CAREG,97
Mon May 30 00:00:00 2022,MontPetit,94
Mon May 30 00:00:00 2022,SPX,92
Tue May 31 00:00:00 2022,Simard,92
Mon Jun  6 00:00:00 2022,CAREG,89
Tue May 31 00:00:00 2022,LEES BLOCK A,88
Fri Jun  3 00:00:00 2022,LEES BLOCK E,86
Tue May 31 00:00:00 2022,LEES BLOCK E,85
Sat Jun  4 00:00:00 2022,SPX,83
Thu Jun  2 00:00:00 2022,Simard,81
Mon May 30 00:00:00 2022,Diorio,80
Sat Jun  4 00:00:00 2022,Morisset,78
Sun Jun  5 00:00:00 2022,SPX,78
Sat Jun  4 00:00:00 2022,MontPetit,77
Mon Jun  6 00:00:00 2022,LEES BLOCK A,74
Sun Jun  5 00:00:00 2022,DMS,73
Sat Jun  4 00:00:00 2022,STEM,73
Thu Jun  2 00:00:00 2022,1 Stewart,70
Mon Jun  6 00:00:00 2022,LEES BLOCK E,70
Thu Jun  2 00:00:00 2022,LMX,70
Sun Jun  5 00:00:00 2022,STEM,70
Mon Jun  6 00:00:00 2022,Arts,68
Sun Jun  5 00:00:00 2022,FSS,67
Fri Jun  3 00:00:00 2022,KED,66
Mon Jun  6 00:00:00 2022,LMX,66
Sun Jun  5 00:00:00 2022,Morisset,65
Wed Jun  1 00:00:00 2022,850 Peter Morand,64
Mon May 30 00:00:00 2022,STEM,64
Mon May 30 00:00:00 2022,bioScience,64
Mon May 30 00:00:00 2022,Tabaret,62
Sat Jun  4 00:00:00 2022,FSS,61
Mon May 30 00:00:00 2022,Vanier,61
Fri Jun  3 00:00:00 2022,Hagen,60
Mon Jun  6 00:00:00 2022,Hagen,58
Fri Jun  3 00:00:00 2022,EMBA,56
Wed Jun  1 00:00:00 2022,1 Stewart,55
Tue May 31 00:00:00 2022,Hagen,55
Thu Jun  2 00:00:00 2022,LEES BLOCK E,55
Fri Jun  3 00:00:00 2022,1 Stewart,52
Sat Jun  4 00:00:00 2022,Fauteux,51
Tue May 31 00:00:00 2022,KED,51
Tue May 31 00:00:00 2022,1 Stewart,50
Mon Jun  6 00:00:00 2022,600 Peter Morand,50
Fri Jun  3 00:00:00 2022,MCU,50
Sat Jun  4 00:00:00 2022,ARC,49
Mon May 30 00:00:00 2022,UniCenter,48
Mon May 30 00:00:00 2022,CAREG,47
Mon May 30 00:00:00 2022,Marion,47
Wed Jun  1 00:00:00 2022,Perez,46
Tue May 31 00:00:00 2022,600 Peter Morand,45
Thu Jun  2 00:00:00 2022,600 Peter Morand,44
Tue May 31 00:00:00 2022,EMBA,44
Mon Jun  6 00:00:00 2022,EMBA,43
Sun Jun  5 00:00:00 2022,MontPetit,43
Sat Jun  4 00:00:00 2022,SITE,43
Sat Jun  4 00:00:00 2022,DMS,42
Thu Jun  2 00:00:00 2022,KED,42
Fri Jun  3 00:00:00 2022,Perez,42
Wed Jun  1 00:00:00 2022,Hagen,41
Sat Jun  4 00:00:00 2022,Vanier,41
Fri Jun  3 00:00:00 2022,535 Legget,40
Thu Jun  2 00:00:00 2022,LEES BLOCK A,39
Tue May 31 00:00:00 2022,MCU,39
Thu Jun  2 00:00:00 2022,Perez,39
Sat Jun  4 00:00:00 2022,Tabaret,39
Sun Jun  5 00:00:00 2022,ARC,38
Wed Jun  1 00:00:00 2022,600 Peter Morand,37
Mon May 30 00:00:00 2022,Arts,36
Sat Jun  4 00:00:00 2022,Diorio,36
Sun Jun  5 00:00:00 2022,Fauteux,36
Thu Jun  2 00:00:00 2022,MCU,36
Mon Jun  6 00:00:00 2022,MCU,36
Thu Jun  2 00:00:00 2022,Hagen,35
Sun Jun  5 00:00:00 2022,SITE,35
Wed Jun  1 00:00:00 2022,EMBA,34
