_time,Building,Clients
Fri Mar 25 00:00:00 2022,RGN,1782
Fri Mar 25 00:00:00 2022,CRX,1487
Thu Mar 24 00:00:00 2022,CRX,1147
Mon Mar 28 00:00:00 2022,RGN,1020
Sat Mar 26 00:00:00 2022,CRX,980
Wed Mar 23 00:00:00 2022,RGN,939
Fri Mar 25 00:00:00 2022,UniCenter,901
Thu Mar 24 00:00:00 2022,RGN,851
Tue Mar 22 00:00:00 2022,CRX,834
Fri Mar 25 00:00:00 2022,FSS,832
Wed Mar 23 00:00:00 2022,CRX,800
Thu Mar 24 00:00:00 2022,Morisset,792
Fri Mar 25 00:00:00 2022,Morisset,768
Fri Mar 25 00:00:00 2022,DMS,734
Mon Mar 28 00:00:00 2022,CRX,733
Fri Mar 25 00:00:00 2022,SITE,716
Thu Mar 24 00:00:00 2022,UniCenter,709
Thu Mar 24 00:00:00 2022,FSS,700
Thu Mar 24 00:00:00 2022,DMS,685
Fri Mar 25 00:00:00 2022,STEM,669
Fri Mar 25 00:00:00 2022,Tabaret,666
Mon Mar 21 00:00:00 2022,CRX,644
Wed Mar 23 00:00:00 2022,FSS,617
Fri Mar 25 00:00:00 2022,Fauteux,601
Tue Mar 22 00:00:00 2022,Morisset,598
Thu Mar 24 00:00:00 2022,STEM,596
Sun Mar 27 00:00:00 2022,CRX,585
Mon Mar 28 00:00:00 2022,FSS,579
Fri Mar 25 00:00:00 2022,Vanier,567
Wed Mar 23 00:00:00 2022,Morisset,557
Sun Mar 27 00:00:00 2022,Morisset,555
Mon Mar 21 00:00:00 2022,Morisset,546
Tue Mar 22 00:00:00 2022,RGN,538
Thu Mar 24 00:00:00 2022,Fauteux,536
Mon Mar 28 00:00:00 2022,Morisset,527
Fri Mar 25 00:00:00 2022,CBY,516
Thu Mar 24 00:00:00 2022,CBY,503
Thu Mar 24 00:00:00 2022,SITE,497
Tue Mar 22 00:00:00 2022,FSS,490
Wed Mar 23 00:00:00 2022,DMS,483
Fri Mar 25 00:00:00 2022,Marion,481
Mon Mar 28 00:00:00 2022,UniCenter,481
Wed Mar 23 00:00:00 2022,UniCenter,479
Wed Mar 23 00:00:00 2022,Tabaret,463
Mon Mar 28 00:00:00 2022,DMS,458
Fri Mar 25 00:00:00 2022,SPX,441
Wed Mar 23 00:00:00 2022,STEM,440
Wed Mar 23 00:00:00 2022,SITE,438
Tue Mar 22 00:00:00 2022,Fauteux,428
Mon Mar 28 00:00:00 2022,SITE,427
Fri Mar 25 00:00:00 2022,LMX,426
Mon Mar 21 00:00:00 2022,UniCenter,421
Tue Mar 22 00:00:00 2022,UniCenter,415
Sat Mar 26 00:00:00 2022,RGN,394
Mon Mar 28 00:00:00 2022,Tabaret,394
Mon Mar 28 00:00:00 2022,STEM,377
Sun Mar 27 00:00:00 2022,RGN,373
Thu Mar 24 00:00:00 2022,MontPetit,367
Sun Mar 27 00:00:00 2022,UniCenter,366
Sat Mar 26 00:00:00 2022,Fauteux,363
Sat Mar 26 00:00:00 2022,UniCenter,358
Fri Mar 25 00:00:00 2022,ARC,355
Fri Mar 25 00:00:00 2022,bioScience,355
Thu Mar 24 00:00:00 2022,Tabaret,353
Thu Mar 24 00:00:00 2022,Vanier,338
Fri Mar 25 00:00:00 2022,MontPetit,335
Tue Mar 22 00:00:00 2022,DMS,331
Fri Mar 25 00:00:00 2022,Diorio,331
Wed Mar 23 00:00:00 2022,CBY,328
Mon Mar 28 00:00:00 2022,CBY,322
Fri Mar 25 00:00:00 2022,LPR,319
Wed Mar 23 00:00:00 2022,Fauteux,313
Wed Mar 23 00:00:00 2022,Vanier,312
Mon Mar 21 00:00:00 2022,RGN,310
Mon Mar 21 00:00:00 2022,FSS,308
Thu Mar 24 00:00:00 2022,SPX,301
Tue Mar 22 00:00:00 2022,STEM,299
Sat Mar 26 00:00:00 2022,Morisset,294
Tue Mar 22 00:00:00 2022,SITE,289
Sun Mar 27 00:00:00 2022,Fauteux,286
Thu Mar 24 00:00:00 2022,bioScience,279
Mon Mar 21 00:00:00 2022,SITE,278
Tue Mar 22 00:00:00 2022,Tabaret,277
Sun Mar 27 00:00:00 2022,FSS,276
Wed Mar 23 00:00:00 2022,bioScience,275
Thu Mar 24 00:00:00 2022,Marion,273
Mon Mar 28 00:00:00 2022,Fauteux,270
Thu Mar 24 00:00:00 2022,ARC,261
Sun Mar 27 00:00:00 2022,STEM,258
Sat Mar 26 00:00:00 2022,FSS,256
Mon Mar 28 00:00:00 2022,bioScience,256
Thu Mar 24 00:00:00 2022,LMX,255
Tue Mar 22 00:00:00 2022,CBY,251
Wed Mar 23 00:00:00 2022,LMX,249
Mon Mar 28 00:00:00 2022,LMX,247
Mon Mar 28 00:00:00 2022,Marion,247
Mon Mar 28 00:00:00 2022,Vanier,245
Fri Mar 25 00:00:00 2022,CAREG,242
Sun Mar 27 00:00:00 2022,DMS,241
Mon Mar 28 00:00:00 2022,MontPetit,236
Wed Mar 23 00:00:00 2022,MontPetit,234
Thu Mar 24 00:00:00 2022,Diorio,230
