Building,"_time",Clients
RGN,"2022-01-12T00:00:00.000-0500",582
FSS,"2021-11-23T00:00:00.000-0500",567
CRX,"2021-12-11T00:00:00.000-0500",566
CBY,"2021-11-16T00:00:00.000-0500",564
UniCenter,"2021-12-16T00:00:00.000-0500",562
CRX,"2022-01-27T00:00:00.000-0500",559
CRX,"2021-12-12T00:00:00.000-0500",554
CRX,"2022-01-25T00:00:00.000-0500",552
Morisset,"2021-12-03T00:00:00.000-0500",552
UniCenter,"2021-12-03T00:00:00.000-0500",548
FSS,"2021-12-08T00:00:00.000-0500",543
Morisset,"2021-12-14T00:00:00.000-0500",543
Marion,"2021-11-30T00:00:00.000-0500",542
UniCenter,"2021-12-09T00:00:00.000-0500",541
bioScience,"2021-11-16T00:00:00.000-0500",539
CRX,"2021-11-26T00:00:00.000-0500",537
FSS,"2022-02-09T00:00:00.000-0500",533
Morisset,"2021-12-06T00:00:00.000-0500",533
bioScience,"2021-11-30T00:00:00.000-0500",532
UniCenter,"2021-11-23T00:00:00.000-0500",530
Morisset,"2021-12-04T00:00:00.000-0500",527
Morisset,"2021-12-16T00:00:00.000-0500",522
FSS,"2022-02-10T00:00:00.000-0500",521
Morisset,"2021-12-10T00:00:00.000-0500",521
RGN,"2022-01-06T00:00:00.000-0500",512
Morisset,"2022-02-10T00:00:00.000-0500",505
FSS,"2021-11-17T00:00:00.000-0500",504
RGN,"2021-12-20T00:00:00.000-0500",502
FSS,"2021-12-15T00:00:00.000-0500",493
UniCenter,"2021-11-17T00:00:00.000-0500",492
Morisset,"2022-02-07T00:00:00.000-0500",489
DMS,"2022-02-10T00:00:00.000-0500",488
RGN,"2022-01-04T00:00:00.000-0500",488
Morisset,"2022-02-02T00:00:00.000-0500",487
UniCenter,"2021-12-13T00:00:00.000-0500",487
FSS,"2021-11-25T00:00:00.000-0500",486
UniCenter,"2021-11-19T00:00:00.000-0500",484
FSS,"2022-02-08T00:00:00.000-0500",483
UniCenter,"2021-12-06T00:00:00.000-0500",483
RGN,"2022-01-05T00:00:00.000-0500",480
UniCenter,"2021-12-02T00:00:00.000-0500",478
FSS,"2022-02-07T00:00:00.000-0500",476
UniCenter,"2021-11-24T00:00:00.000-0500",476
UniCenter,"2021-12-10T00:00:00.000-0500",476
STEM,"2021-11-24T00:00:00.000-0500",465
CBY,"2021-12-01T00:00:00.000-0500",464
