_time,Building,Clients
Fri Feb 25 00:00:00 2022,RGN,1482
Thu Feb 24 00:00:00 2022,RGN,1034
Mon Feb 28 00:00:00 2022,RGN,874
Wed Feb 23 00:00:00 2022,RGN,752
Mon Feb 28 00:00:00 2022,CRX,705
Tue Feb 22 00:00:00 2022,RGN,660
Mon Feb 28 00:00:00 2022,Morisset,581
Fri Feb 25 00:00:00 2022,UniCenter,561
Mon Feb 28 00:00:00 2022,FSS,528
Fri Feb 25 00:00:00 2022,CRX,465
Sat Feb 26 00:00:00 2022,CRX,433
Mon Feb 28 00:00:00 2022,DMS,421
Mon Feb 28 00:00:00 2022,UniCenter,416
Fri Feb 25 00:00:00 2022,STEM,414
Fri Feb 25 00:00:00 2022,Morisset,378
Mon Feb 28 00:00:00 2022,SITE,367
Sat Feb 26 00:00:00 2022,RGN,366
Mon Feb 28 00:00:00 2022,STEM,349
Sat Feb 26 00:00:00 2022,Morisset,336
Fri Feb 25 00:00:00 2022,CBY,332
Fri Feb 25 00:00:00 2022,Fauteux,326
Fri Feb 25 00:00:00 2022,ARC,321
Mon Feb 28 00:00:00 2022,Tabaret,316
Fri Feb 25 00:00:00 2022,Diorio,314
Sat Feb 26 00:00:00 2022,UniCenter,314
Thu Feb 24 00:00:00 2022,CRX,311
Mon Feb 28 00:00:00 2022,MontPetit,310
Wed Feb 23 00:00:00 2022,UniCenter,302
Wed Feb 23 00:00:00 2022,CRX,300
Mon Feb 28 00:00:00 2022,Fauteux,295
Mon Feb 28 00:00:00 2022,CBY,292
Fri Feb 25 00:00:00 2022,Tabaret,288
Fri Feb 25 00:00:00 2022,FSS,286
Sat Feb 26 00:00:00 2022,FSS,285
Mon Feb 28 00:00:00 2022,Vanier,284
Sat Feb 26 00:00:00 2022,SPX,279
Fri Feb 25 00:00:00 2022,SPX,276
Mon Feb 28 00:00:00 2022,Marion,275
Fri Feb 25 00:00:00 2022,SITE,274
Mon Feb 28 00:00:00 2022,bioScience,274
Thu Feb 24 00:00:00 2022,UniCenter,265
Wed Feb 23 00:00:00 2022,Morisset,259
Mon Feb 28 00:00:00 2022,LMX,253
Sun Feb 27 00:00:00 2022,CRX,250
Thu Feb 24 00:00:00 2022,STEM,250
Thu Feb 24 00:00:00 2022,Fauteux,247
Tue Feb 22 00:00:00 2022,Fauteux,238
Wed Feb 23 00:00:00 2022,STEM,231
Thu Feb 24 00:00:00 2022,Tabaret,230
Fri Feb 25 00:00:00 2022,bioScience,230
Tue Feb 22 00:00:00 2022,STEM,227
Tue Feb 22 00:00:00 2022,UniCenter,224
Fri Feb 25 00:00:00 2022,DMS,222
Wed Feb 23 00:00:00 2022,Tabaret,221
Fri Feb 25 00:00:00 2022,MontPetit,218
Tue Feb 22 00:00:00 2022,Morisset,217
Mon Feb 28 00:00:00 2022,ARC,211
Sun Feb 27 00:00:00 2022,UniCenter,206
Sat Feb 26 00:00:00 2022,STEM,205
Sun Feb 27 00:00:00 2022,RGN,204
Thu Feb 24 00:00:00 2022,CBY,203
Mon Feb 28 00:00:00 2022,Diorio,202
