_time,Building,Clients
Thu Mar 31 00:00:00 2022,RGN,1893
Fri Apr  1 00:00:00 2022,CRX,1581
Fri Apr  1 00:00:00 2022,RGN,1487
Thu Mar 31 00:00:00 2022,CRX,1290
Thu Mar 31 00:00:00 2022,Morisset,1038
Thu Mar 31 00:00:00 2022,DMS,1024
Thu Mar 31 00:00:00 2022,UniCenter,996
Wed Mar 30 00:00:00 2022,RGN,933
Thu Mar 31 00:00:00 2022,FSS,906
Mon Apr  4 00:00:00 2022,RGN,900
Tue Mar 29 00:00:00 2022,CRX,885
Tue Mar 29 00:00:00 2022,RGN,885
Fri Apr  1 00:00:00 2022,Morisset,878
Fri Apr  1 00:00:00 2022,FSS,849
Fri Apr  1 00:00:00 2022,UniCenter,831
Thu Mar 31 00:00:00 2022,SITE,810
Mon Apr  4 00:00:00 2022,CRX,787
Thu Mar 31 00:00:00 2022,Tabaret,745
Wed Mar 30 00:00:00 2022,CRX,741
Sun Apr  3 00:00:00 2022,CRX,735
Fri Apr  1 00:00:00 2022,SITE,723
Fri Apr  1 00:00:00 2022,DMS,704
Thu Mar 31 00:00:00 2022,STEM,700
Sat Apr  2 00:00:00 2022,CRX,689
Mon Apr  4 00:00:00 2022,FSS,633
Mon Mar 28 00:00:00 2022,CRX,626
Thu Mar 31 00:00:00 2022,MontPetit,619
Sun Apr  3 00:00:00 2022,Morisset,617
Thu Mar 31 00:00:00 2022,Fauteux,612
Thu Mar 31 00:00:00 2022,CBY,593
Mon Apr  4 00:00:00 2022,Morisset,570
Tue Mar 29 00:00:00 2022,Morisset,566
Wed Mar 30 00:00:00 2022,FSS,555
Thu Mar 31 00:00:00 2022,Marion,546
Tue Mar 29 00:00:00 2022,UniCenter,542
Fri Apr  1 00:00:00 2022,Fauteux,539
Thu Mar 31 00:00:00 2022,Vanier,535
Thu Mar 31 00:00:00 2022,bioScience,535
Fri Apr  1 00:00:00 2022,STEM,531
Wed Mar 30 00:00:00 2022,Morisset,523
Mon Apr  4 00:00:00 2022,UniCenter,508
Mon Mar 28 00:00:00 2022,Morisset,496
Fri Apr  1 00:00:00 2022,CBY,494
Tue Mar 29 00:00:00 2022,FSS,493
Mon Apr  4 00:00:00 2022,SITE,488
Sun Apr  3 00:00:00 2022,UniCenter,484
Wed Mar 30 00:00:00 2022,DMS,471
Fri Apr  1 00:00:00 2022,Tabaret,467
Wed Mar 30 00:00:00 2022,UniCenter,460
Wed Mar 30 00:00:00 2022,SITE,457
Sat Apr  2 00:00:00 2022,UniCenter,444
Sat Apr  2 00:00:00 2022,Morisset,442
Thu Mar 31 00:00:00 2022,ARC,428
Tue Mar 29 00:00:00 2022,Fauteux,427
Tue Mar 29 00:00:00 2022,STEM,425
Mon Apr  4 00:00:00 2022,DMS,423
Tue Mar 29 00:00:00 2022,SITE,423
Sat Apr  2 00:00:00 2022,RGN,413
Tue Mar 29 00:00:00 2022,DMS,407
Thu Mar 31 00:00:00 2022,LMX,407
Wed Mar 30 00:00:00 2022,Tabaret,404
Mon Apr  4 00:00:00 2022,Tabaret,401
Tue Mar 29 00:00:00 2022,Tabaret,399
Fri Apr  1 00:00:00 2022,Marion,397
Fri Apr  1 00:00:00 2022,MontPetit,394
Wed Mar 30 00:00:00 2022,STEM,394
Sun Apr  3 00:00:00 2022,FSS,381
Fri Apr  1 00:00:00 2022,SPX,381
Fri Apr  1 00:00:00 2022,ARC,380
Sun Apr  3 00:00:00 2022,RGN,379
Mon Mar 28 00:00:00 2022,UniCenter,374
Thu Mar 31 00:00:00 2022,SPX,373
Fri Apr  1 00:00:00 2022,bioScience,373
Thu Mar 31 00:00:00 2022,Diorio,361
Wed Mar 30 00:00:00 2022,Fauteux,354
Fri Apr  1 00:00:00 2022,Vanier,353
Sat Apr  2 00:00:00 2022,Fauteux,348
Mon Apr  4 00:00:00 2022,STEM,337
Sat Apr  2 00:00:00 2022,STEM,322
Sat Apr  2 00:00:00 2022,FSS,321
Mon Apr  4 00:00:00 2022,Fauteux,313
Tue Mar 29 00:00:00 2022,CBY,311
Wed Mar 30 00:00:00 2022,CBY,306
Sun Apr  3 00:00:00 2022,Fauteux,299
Sat Apr  2 00:00:00 2022,SITE,293
Fri Apr  1 00:00:00 2022,Diorio,289
Mon Mar 28 00:00:00 2022,RGN,285
Sun Apr  3 00:00:00 2022,MontPetit,277
Mon Mar 28 00:00:00 2022,FSS,276
Mon Apr  4 00:00:00 2022,CBY,275
Tue Mar 29 00:00:00 2022,Vanier,274
Fri Apr  1 00:00:00 2022,LMX,272
Thu Mar 31 00:00:00 2022,LPR,271
Mon Apr  4 00:00:00 2022,Vanier,271
Sat Apr  2 00:00:00 2022,SPX,264
Wed Mar 30 00:00:00 2022,Vanier,257
Tue Mar 29 00:00:00 2022,bioScience,257
Wed Mar 30 00:00:00 2022,bioScience,255
Wed Mar 30 00:00:00 2022,Marion,251
Mon Mar 28 00:00:00 2022,SITE,251
Tue Mar 29 00:00:00 2022,LMX,248
Mon Apr  4 00:00:00 2022,MontPetit,248
Fri Apr  1 00:00:00 2022,LPR,246
Sun Apr  3 00:00:00 2022,SITE,243
Sat Apr  2 00:00:00 2022,bioScience,242
Mon Apr  4 00:00:00 2022,LMX,234
Thu Mar 31 00:00:00 2022,Arts,233
Thu Mar 31 00:00:00 2022,Perez,230
Wed Mar 30 00:00:00 2022,MontPetit,227
Tue Mar 29 00:00:00 2022,SPX,224
Sun Apr  3 00:00:00 2022,STEM,223
Thu Mar 31 00:00:00 2022,CAREG,212
Tue Mar 29 00:00:00 2022,ARC,211
Wed Mar 30 00:00:00 2022,LMX,211
Tue Mar 29 00:00:00 2022,Marion,210
Mon Apr  4 00:00:00 2022,Marion,207
Tue Mar 29 00:00:00 2022,MontPetit,207
Mon Apr  4 00:00:00 2022,Diorio,204
Fri Apr  1 00:00:00 2022,CAREG,200
Wed Mar 30 00:00:00 2022,ARC,199
Mon Apr  4 00:00:00 2022,ARC,199
Sun Apr  3 00:00:00 2022,Morriset,195
Wed Mar 30 00:00:00 2022,Diorio,193
Wed Mar 30 00:00:00 2022,SPX,193
Tue Mar 29 00:00:00 2022,Diorio,192
Mon Mar 28 00:00:00 2022,DMS,190
Thu Mar 31 00:00:00 2022,Morriset,190
Fri Apr  1 00:00:00 2022,Perez,188
Sun Apr  3 00:00:00 2022,DMS,187
Thu Mar 31 00:00:00 2022,LEES BLOCK E,184
Mon Mar 28 00:00:00 2022,STEM,182
Thu Mar 31 00:00:00 2022,Thompson,181
Sun Apr  3 00:00:00 2022,CBY,178
Mon Apr  4 00:00:00 2022,SPX,178
Mon Mar 28 00:00:00 2022,CBY,174
Sun Apr  3 00:00:00 2022,SPX,171
Wed Mar 30 00:00:00 2022,Arts,167
Sun Apr  3 00:00:00 2022,Tabaret,164
Fri Apr  1 00:00:00 2022,Simard,163
Sat Apr  2 00:00:00 2022,CBY,160
Mon Mar 28 00:00:00 2022,Fauteux,159
Thu Mar 31 00:00:00 2022,Simard,157
Mon Apr  4 00:00:00 2022,bioScience,153
Fri Apr  1 00:00:00 2022,Arts,149
Thu Mar 31 00:00:00 2022,MCU,147
Sat Apr  2 00:00:00 2022,Tabaret,147
Fri Apr  1 00:00:00 2022,Morriset,146
Sat Apr  2 00:00:00 2022,DMS,145
Tue Mar 29 00:00:00 2022,LPR,144
Wed Mar 30 00:00:00 2022,Simard,139
Thu Mar 31 00:00:00 2022,100 Laurier,137
Fri Apr  1 00:00:00 2022,Thompson,137
